DATE,GCE
1/1/1947,40.274
4/1/1947,40.138
7/1/1947,39.361
10/1/1947,39.534
1/1/1948,40.875
4/1/1948,42.884
7/1/1948,44.66
10/1/1948,46.603
1/1/1949,48.585
4/1/1949,50.381
7/1/1949,50.356
10/1/1949,49.91
1/1/1950,48.956
4/1/1950,49.643
7/1/1950,49.746
10/1/1950,53.713
1/1/1951,62.033
4/1/1951,69.821
7/1/1951,78.046
10/1/1951,83.314
1/1/1952,84.998
4/1/1952,88.987
7/1/1952,90.931
10/1/1952,93.418
1/1/1953,95.764
4/1/1953,97.925
7/1/1953,96.622
10/1/1953,96.747
1/1/1954,94.831
4/1/1954,92.534
7/1/1954,91.148
10/1/1954,91.356
1/1/1955,91.869
4/1/1955,92.533
7/1/1955,94.099
10/1/1955,93.331
1/1/1956,94.848
4/1/1956,98.247
7/1/1956,98.279
10/1/1956,101.345
1/1/1957,105.342
4/1/1957,105.842
7/1/1957,107.405
10/1/1957,110.062
1/1/1958,109.843
4/1/1958,113.624
7/1/1958,115.093
10/1/1958,117.992
1/1/1959,117.195
4/1/1959,118.535
7/1/1959,119.492
10/1/1959,118.608
1/1/1960,116.951
4/1/1960,118.38
7/1/1960,122.419
10/1/1960,124.33
1/1/1961,126.218
4/1/1961,127.254
7/1/1961,129.961
10/1/1961,133.516
1/1/1962,137.107
4/1/1962,138.426
7/1/1962,142.052
10/1/1962,143.562
1/1/1963,143.724
4/1/1963,144.132
7/1/1963,149.927
10/1/1963,150.989
1/1/1964,152.554
4/1/1964,154.314
7/1/1964,156.033
10/1/1964,156.152
1/1/1965,157.025
4/1/1965,159.808
7/1/1965,166.761
10/1/1965,172.619
1/1/1966,177.032
4/1/1966,181.659
7/1/1966,189.466
10/1/1966,193.621
1/1/1967,202.588
4/1/1967,203.811
7/1/1967,208.379
10/1/1967,213.293
1/1/1968,219.749
4/1/1968,223.637
7/1/1968,227.37
10/1/1968,231.347
1/1/1969,233.705
4/1/1969,236.859
7/1/1969,242.535
10/1/1969,242.838
1/1/1970,247.889
4/1/1970,249.143
7/1/1970,254.584
10/1/1970,258.708
1/1/1971,261.905
4/1/1971,266.118
7/1/1971,269.783
10/1/1971,272.067
1/1/1972,282.228
4/1/1972,286.464
7/1/1972,284.316
10/1/1972,291.749
1/1/1973,299.571
4/1/1973,302.709
7/1/1973,304.189
10/1/1973,312.593
1/1/1974,324.586
4/1/1974,334.957
7/1/1974,346.71
10/1/1974,359.228
1/1/1975,370.138
4/1/1975,373.408
7/1/1975,385.394
10/1/1975,395.571
1/1/1976,401.291
4/1/1976,400.985
7/1/1976,403.517
10/1/1976,410.818
1/1/1977,421.202
4/1/1977,431.362
7/1/1977,438.014
10/1/1977,446.749
1/1/1978,452.589
4/1/1978,472.288
7/1/1978,484.229
10/1/1978,496.241
1/1/1979,501.818
4/1/1979,516.508
7/1/1979,533.106
10/1/1979,547.775
1/1/1980,568.781
4/1/1980,588.547
7/1/1980,592.169
10/1/1980,608.893
