Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",19,85,4.48,14
"Mar 19, 2013",12,37,3.10,10
"Mar 18, 2013",13,49,3.76,13
"Mar 17, 2013",17,52,3.04,15
"Mar 16, 2013",1,9,8.80,1
"Mar 15, 2013",5,16,3.21,5
"Mar 14, 2013",9,28,3.16,8
"Mar 13, 2013",13,55,4.26,11
"Mar 12, 2013",12,56,4.69,11
"Mar 11, 2013",3,20,6.82,2
"Mar 10, 2013",17,89,5.26,12
"Mar 09, 2013",7,34,4.82,7
"Mar 08, 2013",4,20,4.91,3
"Mar 07, 2013",5,18,3.69,4
"Mar 06, 2013",13,63,4.87,10
"Mar 05, 2013",10,45,4.51,8
"Mar 04, 2013",14,51,3.66,11
"Mar 03, 2013",9,37,4.07,8
"Mar 02, 2013",6,20,3.36,4
"Mar 01, 2013",6,27,4.46,5
"Feb 28, 2013",14,98,6.98,13
"Feb 27, 2013",14,61,4.33,12
"Feb 26, 2013",14,72,5.12,10
"Feb 25, 2013",19,74,3.89,16
"Feb 24, 2013",15,35,2.36,12
"Feb 23, 2013",11,60,5.47,9
"Feb 22, 2013",4,17,4.30,4
"Feb 21, 2013",4,20,4.91,4
"Feb 20, 2013",6,25,4.23,6
"Feb 19, 2013",15,68,4.51,12
"Feb 18, 2013",13,76,5.85,11
"Feb 17, 2013",10,41,4.12,9
"Feb 16, 2013",5,29,5.76,4
"Feb 15, 2013",7,48,6.88,5
"Feb 14, 2013",12,46,3.83,9
"Feb 13, 2013",12,64,5.32,11
"Feb 12, 2013",17,65,3.84,13
"Feb 11, 2013",9,44,4.93,8
"Feb 10, 2013",13,46,3.58,9
"Feb 09, 2013",7,36,5.18,5
"Feb 08, 2013",3,21,7.07,3
"Feb 07, 2013",23,71,3.07,20
"Feb 06, 2013",12,50,4.17,10
"Feb 05, 2013",14,50,3.56,12
"Feb 04, 2013",15,67,4.45,12
"Feb 03, 2013",6,16,2.61,5
"Feb 02, 2013",7,16,2.26,7
"Feb 01, 2013",9,45,4.95,7
"Jan 31, 2013",7,25,3.59,6
"Jan 30, 2013",7,37,5.34,7
"Jan 29, 2013",14,55,3.91,10
"Jan 28, 2013",9,33,3.67,7
"Jan 27, 2013",17,77,4.54,15
"Jan 26, 2013",1,0,0.00,0
"Jan 25, 2013",5,18,3.69,5
"Jan 24, 2013",10,26,2.59,8
"Jan 23, 2013",9,38,4.23,8
"Jan 22, 2013",11,47,4.23,9
"Jan 21, 2013",12,43,3.61,11
"Jan 20, 2013",12,34,2.86,11
"Jan 19, 2013",5,26,5.19,5
"Jan 18, 2013",3,26,8.80,2
"Jan 17, 2013",51,190,3.73,39
"Jan 16, 2013",10,44,4.41,10
"Jan 15, 2013",13,54,4.14,10
"Jan 14, 2013",8,57,7.18,8
"Jan 13, 2013",15,72,4.79,13
"Jan 12, 2013",12,43,3.60,9
"Jan 11, 2013",13,48,3.70,10
"Jan 10, 2013",18,75,4.18,12
"Jan 09, 2013",9,19,2.14,7
"Jan 08, 2013",26,128,4.92,22
"Jan 07, 2013",17,99,5.84,12
"Jan 06, 2013",16,74,4.62,12
"Jan 05, 2013",6,24,3.96,5
"Jan 04, 2013",7,44,6.36,6
"Jan 03, 2013",3,18,6.14,1
"Jan 02, 2013",7,31,4.43,6
"Jan 01, 2013",7,28,4.07,6
"Dec 31, 2012",7,41,5.90,7
"Dec 30, 2012",2,1,0.38,1
"Dec 29, 2012",11,29,2.60,10
"Dec 28, 2012",3,5,1.70,3
"Dec 27, 2012",7,14,2.04,6
"Dec 26, 2012",4,16,4.00,4
"Dec 25, 2012",3,14,4.77,3
"Dec 24, 2012",4,16,4.01,4
"Dec 23, 2012",7,14,2.05,4
"Dec 22, 2012",5,2,0.44,4
"Dec 21, 2012",4,17,4.29,4
