Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",12,28,2.30,9
"Mar 19, 2013",8,2,0.28,6
"Mar 18, 2013",9,31,3.50,9
"Mar 17, 2013",5,13,2.64,5
"Mar 16, 2013",6,9,1.58,6
"Mar 15, 2013",0,0,0.00,0
"Mar 14, 2013",8,6,0.74,6
"Mar 13, 2013",5,3,0.51,4
"Mar 12, 2013",6,3,0.47,6
"Mar 11, 2013",5,6,1.23,4
"Mar 10, 2013",11,23,2.10,6
"Mar 09, 2013",9,33,3.68,3
"Mar 08, 2013",9,41,4.58,8
"Mar 07, 2013",8,34,4.24,6
"Mar 06, 2013",9,8,0.86,9
"Mar 05, 2013",12,34,2.84,10
"Mar 04, 2013",16,39,2.43,11
"Mar 03, 2013",3,19,6.47,3
"Mar 02, 2013",9,13,1.48,7
"Mar 01, 2013",1,2,2.23,1
"Feb 28, 2013",7,25,3.55,6
"Feb 27, 2013",5,10,2.09,5
"Feb 26, 2013",8,41,5.14,6
"Feb 25, 2013",6,11,1.78,4
"Feb 24, 2013",5,9,1.84,5
"Feb 23, 2013",15,33,2.20,10
"Feb 22, 2013",4,8,2.10,4
"Feb 21, 2013",15,37,2.49,12
"Feb 20, 2013",11,15,1.33,11
"Feb 19, 2013",12,52,4.33,9
"Feb 18, 2013",13,36,2.76,10
"Feb 17, 2013",18,44,2.44,15
"Feb 16, 2013",5,11,2.16,4
"Feb 15, 2013",3,7,2.33,3
"Feb 14, 2013",7,9,1.31,5
"Feb 13, 2013",15,25,1.65,12
"Feb 12, 2013",5,25,5.08,4
"Feb 11, 2013",11,42,3.83,9
"Feb 10, 2013",5,5,0.96,4
"Feb 09, 2013",7,11,1.60,6
"Feb 08, 2013",9,30,3.29,8
"Feb 07, 2013",7,7,1.00,5
"Feb 06, 2013",4,13,3.20,3
"Feb 05, 2013",14,39,2.80,12
"Feb 04, 2013",13,31,2.37,13
"Feb 03, 2013",4,14,3.39,4
"Feb 02, 2013",13,34,2.61,8
"Feb 01, 2013",13,12,0.93,10
"Jan 31, 2013",5,18,3.50,5
"Jan 30, 2013",18,56,3.11,15
"Jan 29, 2013",12,25,2.07,8
"Jan 28, 2013",15,44,2.91,12
"Jan 27, 2013",15,25,1.67,15
"Jan 26, 2013",3,9,3.03,2
"Jan 25, 2013",8,5,0.57,8
"Jan 24, 2013",8,19,2.43,8
"Jan 23, 2013",8,34,4.24,7
"Jan 22, 2013",16,45,2.84,14
"Jan 21, 2013",9,18,1.96,8
"Jan 20, 2013",14,28,1.99,12
"Jan 19, 2013",14,42,2.97,12
"Jan 18, 2013",10,14,1.41,8
"Jan 17, 2013",12,22,1.87,10
"Jan 16, 2013",15,41,2.76,9
"Jan 15, 2013",10,31,3.05,9
"Jan 14, 2013",17,27,1.59,15
"Jan 13, 2013",27,50,1.84,21
"Jan 12, 2013",17,61,3.57,11
"Jan 11, 2013",5,4,0.82,5
"Jan 10, 2013",11,13,1.19,11
"Jan 09, 2013",14,29,2.10,8
"Jan 08, 2013",13,20,1.55,11
"Jan 07, 2013",15,32,2.14,8
"Jan 06, 2013",9,30,3.30,9
"Jan 05, 2013",6,8,1.31,4
"Jan 04, 2013",5,18,3.58,5
"Jan 03, 2013",15,9,0.59,12
"Jan 02, 2013",1,0,0.00,1
"Jan 01, 2013",6,17,2.89,6
"Dec 31, 2012",4,3,0.73,4
"Dec 30, 2012",8,23,2.82,7
"Dec 29, 2012",6,9,1.48,6
"Dec 28, 2012",7,39,5.53,7
"Dec 27, 2012",5,8,1.56,5
"Dec 26, 2012",6,11,1.76,6
"Dec 25, 2012",0,0,0.00,0
"Dec 24, 2012",7,10,1.47,6
"Dec 23, 2012",5,7,1.42,5
"Dec 22, 2012",5,10,1.97,4
"Dec 21, 2012",3,5,1.78,3
"Dec 20, 2012",5,16,3.22,4
"Dec 19, 2012",9,19,2.06,8
"Dec 18, 2012",4,23,5.63,3
"Dec 17, 2012",16,18,1.15,11
"Dec 16, 2012",15,32,2.10,14
"Dec 15, 2012",19,42,2.21,15
"Dec 14, 2012",8,35,4.35,6
"Dec 13, 2012",14,32,2.29,14
"Dec 12, 2012",20,84,4.22,14
"Dec 11, 2012",24,72,3.00,19
"Dec 10, 2012",15,29,1.94,13
"Dec 09, 2012",22,42,1.91,17
"Dec 08, 2012",15,18,1.21,12
"Dec 07, 2012",13,27,2.09,13
"Dec 06, 2012",18,54,3.02,13
"Dec 05, 2012",13,33,2.53,9
"Dec 04, 2012",18,42,2.31,14
"Dec 03, 2012",11,41,3.73,10
"Dec 02, 2012",11,25,2.27,11
"Dec 01, 2012",14,36,2.56,12
"Nov 30, 2012",21,90,4.28,17
"Nov 29, 2012",19,45,2.35,14
"Nov 28, 2012",40,58,1.45,27
"Nov 27, 2012",27,46,1.69,23
"Nov 26, 2012",13,40,3.05,11
"Nov 25, 2012",25,62,2.48,21
"Nov 24, 2012",13,35,2.71,11
"Nov 23, 2012",11,35,3.15,8
"Nov 22, 2012",17,53,3.12,14
"Nov 21, 2012",60,88,1.46,46
"Nov 20, 2012",18,16,0.91,15
"Nov 19, 2012",11,23,2.13,9
"Nov 18, 2012",15,29,1.94,13
"Nov 17, 2012",7,19,2.65,6
"Nov 16, 2012",11,35,3.22,10
"Nov 15, 2012",11,46,4.17,11
"Nov 14, 2012",7,5,0.73,7
"Nov 13, 2012",22,84,3.82,20
"Nov 12, 2012",21,22,1.07,17
"Nov 11, 2012",21,68,3.24,19
"Nov 10, 2012",9,33,3.72,8
"Nov 09, 2012",7,6,0.89,7
"Nov 08, 2012",17,33,1.92,12
"Nov 07, 2012",18,36,2.00,15
"Nov 06, 2012",10,37,3.75,5
"Nov 05, 2012",25,76,3.05,20
"Nov 04, 2012",15,35,2.32,14
"Nov 03, 2012",18,69,3.81,11
"Nov 02, 2012",7,27,3.88,5
"Nov 01, 2012",8,16,1.95,6
"Oct 31, 2012",18,61,3.39,16
"Oct 30, 2012",17,45,2.62,10
"Oct 29, 2012",12,35,2.95,11
"Oct 28, 2012",19,54,2.85,16
"Oct 27, 2012",9,5,0.58,8
"Oct 26, 2012",7,19,2.72,5
"Oct 25, 2012",4,4,1.03,4
"Oct 24, 2012",17,81,4.74,11
"Oct 23, 2012",8,23,2.84,6
"Oct 22, 2012",20,87,4.35,13
"Oct 21, 2012",34,133,3.92,22
"Oct 20, 2012",15,40,2.69,12
"Oct 19, 2012",8,26,3.22,7
"Oct 18, 2012",19,35,1.85,16
"Oct 17, 2012",20,26,1.30,15
"Oct 16, 2012",21,34,1.64,14
"Oct 15, 2012",18,64,3.54,14
"Oct 14, 2012",26,66,2.55,13
"Oct 13, 2012",31,77,2.49,21
"Oct 12, 2012",5,8,1.61,5
"Oct 11, 2012",15,31,2.09,11
"Oct 10, 2012",13,28,2.12,11
"Oct 09, 2012",17,47,2.77,16
"Oct 08, 2012",24,50,2.09,19
"Oct 07, 2012",15,13,0.84,11
"Oct 06, 2012",11,38,3.47,8
"Oct 05, 2012",14,36,2.57,8
"Oct 04, 2012",12,60,4.99,7
"Oct 03, 2012",21,65,3.12,15
"Oct 02, 2012",11,27,2.44,11
"Oct 01, 2012",20,69,3.47,16
"Sep 30, 2012",4,28,6.98,4
"Sep 29, 2012",14,36,2.56,12
"Sep 28, 2012",10,27,2.72,8
"Sep 27, 2012",13,36,2.76,8
"Sep 26, 2012",15,38,2.51,12
"Sep 25, 2012",18,43,2.41,13
"Sep 24, 2012",10,13,1.26,8
"Sep 23, 2012",7,14,1.93,7
"Sep 22, 2012",15,44,2.90,11
"Sep 21, 2012",9,34,3.78,9
"Sep 20, 2012",14,23,1.68,11
"Sep 19, 2012",6,34,5.68,6
"Sep 18, 2012",6,7,1.22,6
"Sep 17, 2012",14,36,2.58,13
"Sep 16, 2012",20,61,3.03,13
"Sep 15, 2012",19,42,2.21,10
"Sep 14, 2012",7,34,4.92,5
"Sep 13, 2012",9,15,1.72,8
"Sep 12, 2012",8,17,2.09,7
"Sep 11, 2012",5,13,2.64,4
"Sep 10, 2012",8,6,0.73,6
"Sep 09, 2012",4,10,2.58,4
"Sep 08, 2012",6,5,0.83,3
"Sep 07, 2012",8,12,1.56,6
"Sep 06, 2012",10,38,3.85,7
"Sep 05, 2012",8,31,3.90,7
"Sep 04, 2012",4,20,4.98,3
"Sep 03, 2012",5,10,2.10,4
"Sep 02, 2012",11,24,2.20,7
"Sep 01, 2012",5,5,1.02,5
