Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",38,111,2.92,34
"Mar 19, 2013",37,103,2.78,31
"Mar 18, 2013",36,85,2.35,30
"Mar 17, 2013",45,155,3.44,29
"Mar 16, 2013",10,48,4.81,8
"Mar 15, 2013",12,25,2.12,9
"Mar 14, 2013",21,74,3.54,15
"Mar 13, 2013",48,156,3.25,37
"Mar 12, 2013",24,81,3.38,19
"Mar 11, 2013",34,74,2.17,23
"Mar 10, 2013",26,117,4.50,25
"Mar 09, 2013",12,23,1.89,10
"Mar 08, 2013",19,62,3.25,16
"Mar 07, 2013",42,149,3.54,34
"Mar 06, 2013",34,157,4.63,26
"Mar 05, 2013",60,223,3.72,45
"Mar 04, 2013",49,173,3.53,41
"Mar 03, 2013",35,115,3.30,27
"Mar 02, 2013",14,51,3.67,12
"Mar 01, 2013",21,71,3.36,14
"Feb 28, 2013",29,115,3.96,17
"Feb 27, 2013",28,128,4.56,23
"Feb 26, 2013",24,76,3.18,20
"Feb 25, 2013",23,89,3.88,17
"Feb 24, 2013",31,104,3.35,26
"Feb 23, 2013",26,69,2.66,15
"Feb 22, 2013",23,85,3.68,22
"Feb 21, 2013",38,156,4.10,29
"Feb 20, 2013",38,152,4.00,32
"Feb 19, 2013",39,133,3.42,32
"Feb 18, 2013",18,72,4.00,17
"Feb 17, 2013",22,93,4.21,20
"Feb 16, 2013",10,39,3.87,8
"Feb 15, 2013",15,69,4.58,14
"Feb 14, 2013",23,92,3.98,17
"Feb 13, 2013",27,113,4.18,26
"Feb 12, 2013",34,141,4.14,29
"Feb 11, 2013",25,101,4.03,23
"Feb 10, 2013",25,91,3.64,19
"Feb 09, 2013",11,38,3.42,9
"Feb 08, 2013",10,19,1.88,9
"Feb 07, 2013",22,81,3.68,17
"Feb 06, 2013",37,150,4.05,27
"Feb 05, 2013",27,84,3.11,20
"Feb 04, 2013",27,124,4.58,21
"Feb 03, 2013",24,108,4.50,19
"Feb 02, 2013",25,98,3.94,19
"Feb 01, 2013",14,45,3.21,14
"Jan 31, 2013",18,63,3.48,14
"Jan 30, 2013",19,57,3.01,17
"Jan 29, 2013",15,61,4.04,13
"Jan 28, 2013",20,76,3.80,14
"Jan 27, 2013",16,65,4.07,13
"Jan 26, 2013",10,32,3.16,10
"Jan 25, 2013",11,36,3.25,10
"Jan 24, 2013",32,153,4.78,27
"Jan 23, 2013",22,84,3.82,20
"Jan 22, 2013",21,82,3.89,18
"Jan 21, 2013",17,66,3.86,14
"Jan 20, 2013",22,71,3.24,20
"Jan 19, 2013",21,83,3.93,16
"Jan 18, 2013",29,87,2.99,23
"Jan 17, 2013",24,99,4.14,18
"Jan 16, 2013",16,76,4.73,15
"Jan 15, 2013",18,50,2.76,13
"Jan 14, 2013",32,117,3.67,25
"Jan 13, 2013",40,148,3.71,30
"Jan 12, 2013",24,49,2.02,19
"Jan 11, 2013",16,76,4.74,14
"Jan 10, 2013",33,127,3.85,27
"Jan 09, 2013",33,99,2.99,24
"Jan 08, 2013",20,45,2.25,17
"Jan 07, 2013",32,100,3.11,19
"Jan 06, 2013",44,172,3.91,29
"Jan 05, 2013",10,18,1.77,6
"Jan 04, 2013",11,50,4.51,9
"Jan 03, 2013",23,83,3.61,17
"Jan 02, 2013",18,85,4.72,14
"Jan 01, 2013",8,42,5.25,8
"Dec 31, 2012",6,27,4.51,4
"Dec 30, 2012",9,36,4.03,6
"Dec 29, 2012",17,95,5.57,14
"Dec 28, 2012",18,63,3.47,14
"Dec 27, 2012",9,49,5.40,7
"Dec 26, 2012",6,15,2.53,5
"Dec 25, 2012",5,28,5.62,5
"Dec 24, 2012",10,12,1.25,6
"Dec 23, 2012",18,66,3.68,12
"Dec 22, 2012",12,40,3.34,8
"Dec 21, 2012",12,49,4.07,7
"Dec 20, 2012",13,47,3.61,11
"Dec 19, 2012",18,84,4.69,16
"Dec 18, 2012",30,145,4.85,21
"Dec 17, 2012",40,133,3.33,33
"Dec 16, 2012",44,161,3.66,37
"Dec 15, 2012",34,116,3.43,26
"Dec 14, 2012",47,163,3.46,38
"Dec 13, 2012",59,260,4.41,53
"Dec 12, 2012",86,412,4.79,65
"Dec 11, 2012",87,343,3.94,74
"Dec 10, 2012",67,239,3.56,57
"Dec 09, 2012",81,294,3.62,63
"Dec 08, 2012",55,196,3.57,41
"Dec 07, 2012",44,163,3.70,32
"Dec 06, 2012",70,284,4.06,55
"Dec 05, 2012",74,280,3.78,61
