Date,Views,Estimated minutes watched,Average view duration,Unique cookies
20-Mar-13,2,3,1.48,2
19-Mar-13,2,0,0,1
18-Mar-13,4,18,4.45,4
17-Mar-13,1,0,0.35,1
16-Mar-13,1,0,0,1
15-Mar-13,2,7,3.59,2
14-Mar-13,0,0,0,0
13-Mar-13,3,11,3.54,1
12-Mar-13,3,4,1.19,2
11-Mar-13,4,29,7.23,4
10-Mar-13,0,0,0,0
9-Mar-13,4,10,2.54,3
8-Mar-13,1,8,7.84,1
7-Mar-13,0,0,0,0
6-Mar-13,1,6,6.32,1
5-Mar-13,1,1,0.99,1
4-Mar-13,1,7,7.18,1
3-Mar-13,3,1,0.26,3
2-Mar-13,2,10,5.02,2
1-Mar-13,0,0,0,0
28-Feb-13,2,5,2.67,2
27-Feb-13,4,11,2.77,4
26-Feb-13,3,3,1.06,3
25-Feb-13,2,3,1.31,2
24-Feb-13,0,0,0,0
23-Feb-13,6,16,2.7,5
22-Feb-13,0,0,0,0
21-Feb-13,2,8,3.78,2
20-Feb-13,1,0,0.32,1
19-Feb-13,1,0,0,1
18-Feb-13,4,19,4.83,4
17-Feb-13,1,0,0.41,1
16-Feb-13,1,0,0.17,1
15-Feb-13,1,8,7.7,1
14-Feb-13,2,12,6.24,2
13-Feb-13,0,0,0,0
12-Feb-13,1,2,1.75,1
11-Feb-13,2,8,4.17,2
10-Feb-13,4,10,2.38,3
9-Feb-13,1,1,0.5,1
8-Feb-13,2,27,13.5,2
7-Feb-13,3,1,0.38,3
6-Feb-13,1,0,0.17,1
5-Feb-13,1,1,0.84,1
4-Feb-13,3,0,0.16,3
3-Feb-13,1,0,0,1
2-Feb-13,0,0,0,0
1-Feb-13,6,15,2.58,4
31-Jan-13,2,14,7.04,2
30-Jan-13,4,13,3.17,2
29-Jan-13,1,8,7.84,1
28-Jan-13,4,9,2.33,2
27-Jan-13,5,15,2.95,5
26-Jan-13,3,0,0,1
25-Jan-13,1,8,7.84,1
24-Jan-13,1,2,2.38,1
23-Jan-13,2,0,0,2
22-Jan-13,1,1,1.17,1
21-Jan-13,0,0,0,0
20-Jan-13,2,4,2.07,2
19-Jan-13,3,27,9.1,3
18-Jan-13,4,15,3.71,4
17-Jan-13,5,15,3.1,3
16-Jan-13,2,5,2.74,2
15-Jan-13,16,30,1.88,7
14-Jan-13,3,3,0.92,2
13-Jan-13,4,1,0.25,1
12-Jan-13,4,14,3.59,4
11-Jan-13,1,0,0.5,1
10-Jan-13,1,0,0,1
9-Jan-13,3,13,4.18,3
8-Jan-13,2,0,0.1,1
7-Jan-13,5,10,2.05,4
6-Jan-13,5,17,3.41,5
5-Jan-13,0,0,0,0
4-Jan-13,1,1,1.21,1
3-Jan-13,4,14,3.61,3
2-Jan-13,0,0,0,0
1-Jan-13,1,8,7.84,1
31-Dec-12,0,0,0,0
30-Dec-12,0,0,0,0
29-Dec-12,0,0,0,0
28-Dec-12,1,0,0.19,1
27-Dec-12,3,0,0,1
26-Dec-12,1,8,7.84,1
25-Dec-12,3,9,3.04,1
24-Dec-12,0,0,0,0
23-Dec-12,1,8,7.81,1
22-Dec-12,1,0,0.47,1
21-Dec-12,1,9,9.01,1
20-Dec-12,0,0,0,0
19-Dec-12,2,7,3.71,2
18-Dec-12,1,8,7.84,1
17-Dec-12,2,8,4,2
16-Dec-12,0,0,0,0
15-Dec-12,3,9,2.92,2
14-Dec-12,3,5,1.83,3
13-Dec-12,3,1,0.35,3
12-Dec-12,5,13,2.53,4
11-Dec-12,10,19,1.88,6
10-Dec-12,6,16,2.63,3
9-Dec-12,6,18,2.92,6
8-Dec-12,4,14,3.45,4
7-Dec-12,0,0,0,0
6-Dec-12,6,17,2.8,5
5-Dec-12,3,21,6.91,3
4-Dec-12,6,25,4.18,5
3-Dec-12,7,16,2.22,6
2-Dec-12,6,19,3.23,4
1-Dec-12,5,38,7.51,5
30-Nov-12,1,6,6.48,1
29-Nov-12,4,5,1.26,4
28-Nov-12,2,9,4.55,2
27-Nov-12,1,2,2.21,1
26-Nov-12,3,12,4.04,2
25-Nov-12,1,0,0.11,1
24-Nov-12,5,16,3.12,2
23-Nov-12,4,13,3.17,3
22-Nov-12,0,0,0,0
21-Nov-12,2,0,0,0
20-Nov-12,0,0,0,0
19-Nov-12,2,1,0.31,1
18-Nov-12,3,14,4.77,3
17-Nov-12,3,1,0.37,3
16-Nov-12,1,0,0,0
15-Nov-12,3,0,0,2
14-Nov-12,5,28,5.56,5
13-Nov-12,2,11,5.71,1
12-Nov-12,0,0,0,0
11-Nov-12,3,22,7.22,3
10-Nov-12,2,19,9.29,2
9-Nov-12,1,0,0.07,1
8-Nov-12,2,6,2.89,2
7-Nov-12,3,39,13.05,3
6-Nov-12,5,10,1.93,4
5-Nov-12,4,4,1.02,4
4-Nov-12,6,32,5.32,6
3-Nov-12,0,0,0,0
2-Nov-12,0,0,0,0
1-Nov-12,1,0,0,1
31-Oct-12,4,17,4.22,4
30-Oct-12,1,2,1.82,1
29-Oct-12,4,3,0.67,4
28-Oct-12,4,14,3.54,4
27-Oct-12,7,13,1.82,5
26-Oct-12,2,8,4.15,2
25-Oct-12,4,9,2.21,4
24-Oct-12,3,0,0,3
23-Oct-12,3,22,7.29,3
22-Oct-12,0,0,0,0
21-Oct-12,3,1,0.19,3
20-Oct-12,0,0,0,0
19-Oct-12,1,13,13.36,1
18-Oct-12,3,10,3.2,3
17-Oct-12,4,18,4.5,4
16-Oct-12,3,8,2.57,3
15-Oct-12,6,16,2.6,6
14-Oct-12,8,18,2.31,7
13-Oct-12,7,21,2.94,4
12-Oct-12,2,0,0,2
11-Oct-12,3,2,0.56,3
10-Oct-12,2,4,2.01,2
9-Oct-12,6,10,1.66,6
8-Oct-12,5,4,0.85,4
7-Oct-12,3,5,1.65,2
6-Oct-12,4,9,2.16,4
5-Oct-12,6,31,5.23,2
4-Oct-12,5,12,2.44,4
3-Oct-12,3,6,2.06,3
2-Oct-12,5,13,2.54,5
1-Oct-12,5,25,4.9,5
30-Sep-12,5,1,0.17,5
29-Sep-12,5,12,2.33,5
28-Sep-12,2,16,7.81,2
27-Sep-12,2,17,8.58,2
26-Sep-12,1,3,3.17,1
25-Sep-12,6,39,6.52,6
24-Sep-12,1,0,0.33,1
23-Sep-12,1,0,0,1
22-Sep-12,5,13,2.52,4
21-Sep-12,1,10,9.79,1
20-Sep-12,1,0,0.33,1
19-Sep-12,4,8,1.96,4
18-Sep-12,2,1,0.5,1
17-Sep-12,2,1,0.33,2
16-Sep-12,1,0,0,1
15-Sep-12,0,0,0,0
14-Sep-12,2,8,4.01,2
13-Sep-12,2,14,6.97,2
12-Sep-12,2,0,0.17,2
11-Sep-12,2,0,0.13,2
10-Sep-12,0,0,0,0
9-Sep-12,3,0,0,3
8-Sep-12,0,0,0,0
7-Sep-12,3,17,5.55,2
6-Sep-12,3,5,1.68,2
5-Sep-12,0,0,0,0
4-Sep-12,2,2,1.24,2
3-Sep-12,3,11,3.61,3
2-Sep-12,4,10,2.6,4
1-Sep-12,4,16,4.03,2
