Date,Views,Estimated minutes watched,Average view duration,Unique cookies
20-Mar-13,9,7,0.77,8
19-Mar-13,4,2,0.49,4
18-Mar-13,4,4,1,4
17-Mar-13,11,55,5.01,8
16-Mar-13,4,19,4.66,4
15-Mar-13,7,33,4.7,4
14-Mar-13,2,9,4.64,2
13-Mar-13,10,13,1.34,9
12-Mar-13,8,9,1.1,8
11-Mar-13,16,28,1.77,11
10-Mar-13,16,50,3.12,12
9-Mar-13,4,12,2.99,4
8-Mar-13,6,39,6.53,6
7-Mar-13,12,44,3.69,10
6-Mar-13,8,30,3.77,6
5-Mar-13,4,17,4.21,4
4-Mar-13,10,42,4.2,10
3-Mar-13,10,45,4.49,10
2-Mar-13,2,4,1.96,2
1-Mar-13,10,38,3.8,10
28-Feb-13,7,34,4.87,6
27-Feb-13,8,30,3.81,8
26-Feb-13,8,54,6.79,6
25-Feb-13,17,45,2.66,15
24-Feb-13,13,62,4.75,12
23-Feb-13,9,31,3.42,7
22-Feb-13,7,25,3.55,7
21-Feb-13,10,39,3.87,9
20-Feb-13,18,52,2.86,14
19-Feb-13,26,55,2.1,18
18-Feb-13,10,54,5.41,8
17-Feb-13,13,37,2.81,13
16-Feb-13,13,54,4.17,11
15-Feb-13,8,21,2.61,6
14-Feb-13,9,30,3.33,7
13-Feb-13,15,76,5.05,11
12-Feb-13,13,45,3.45,12
11-Feb-13,17,51,3.01,15
10-Feb-13,13,60,4.64,12
9-Feb-13,3,22,7.37,3
8-Feb-13,4,21,5.27,3
7-Feb-13,12,39,3.29,11
6-Feb-13,23,66,2.85,21
5-Feb-13,13,29,2.23,12
4-Feb-13,18,51,2.83,14
3-Feb-13,22,110,5,20
2-Feb-13,18,57,3.17,14
1-Feb-13,4,13,3.26,3
31-Jan-13,14,41,2.94,9
30-Jan-13,20,62,3.09,18
29-Jan-13,13,55,4.23,11
28-Jan-13,13,45,3.44,12
27-Jan-13,17,87,5.13,14
26-Jan-13,7,50,7.17,5
25-Jan-13,15,49,3.28,13
24-Jan-13,11,21,1.89,10
23-Jan-13,14,40,2.87,12
22-Jan-13,31,117,3.78,25
21-Jan-13,15,45,2.98,14
20-Jan-13,11,30,2.69,11
19-Jan-13,7,17,2.42,4
18-Jan-13,7,26,3.77,6
17-Jan-13,10,22,2.18,7
16-Jan-13,16,89,5.58,14
15-Jan-13,16,75,4.67,15
14-Jan-13,9,36,3.96,8
13-Jan-13,6,11,1.88,5
12-Jan-13,9,62,6.86,9
11-Jan-13,10,38,3.81,9
10-Jan-13,3,13,4.33,3
9-Jan-13,3,13,4.49,3
8-Jan-13,4,20,5.05,4
7-Jan-13,12,32,2.67,11
6-Jan-13,8,21,2.57,7
5-Jan-13,4,7,1.69,4
4-Jan-13,6,11,1.77,6
3-Jan-13,6,10,1.59,4
2-Jan-13,4,5,1.21,4
1-Jan-13,3,10,3.35,3
31-Dec-12,4,8,1.92,3
30-Dec-12,3,12,3.89,3
29-Dec-12,4,12,3.09,3
28-Dec-12,1,5,5.04,1
27-Dec-12,4,5,1.14,4
26-Dec-12,8,21,2.68,6
25-Dec-12,1,1,1.34,1
24-Dec-12,2,0,0,2
23-Dec-12,3,7,2.17,3
22-Dec-12,4,13,3.26,4
21-Dec-12,3,2,0.66,3
20-Dec-12,4,8,2.11,4
19-Dec-12,8,21,2.58,5
18-Dec-12,8,24,3.05,5
17-Dec-12,11,44,4.01,11
16-Dec-12,8,37,4.57,8
15-Dec-12,5,6,1.28,5
