Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",4,20,4.94,4
"Mar 19, 2013",8,28,3.49,7
"Mar 18, 2013",8,20,2.47,6
"Mar 17, 2013",8,19,2.33,8
"Mar 16, 2013",6,6,1.08,6
"Mar 15, 2013",11,32,2.92,10
"Mar 14, 2013",9,46,5.06,7
"Mar 13, 2013",20,78,3.92,14
"Mar 12, 2013",18,55,3.04,15
"Mar 11, 2013",14,39,2.77,11
"Mar 10, 2013",7,20,2.79,5
"Mar 09, 2013",12,28,2.33,9
"Mar 08, 2013",9,20,2.18,8
"Mar 07, 2013",20,56,2.81,18
"Mar 06, 2013",18,52,2.91,15
"Mar 05, 2013",9,19,2.14,7
"Mar 04, 2013",15,25,1.64,12
"Mar 03, 2013",10,29,2.89,9
"Mar 02, 2013",10,21,2.11,7
"Mar 01, 2013",10,56,5.62,10
"Feb 28, 2013",14,41,2.96,14
"Feb 27, 2013",18,42,2.33,17
"Feb 26, 2013",17,17,1.00,14
"Feb 25, 2013",15,36,2.41,11
"Feb 24, 2013",13,38,2.92,12
"Feb 23, 2013",11,30,2.69,10
"Feb 22, 2013",9,27,3.00,5
"Feb 21, 2013",16,59,3.69,12
"Feb 20, 2013",12,44,3.69,10
"Feb 19, 2013",13,45,3.46,12
"Feb 18, 2013",7,12,1.64,4
"Feb 17, 2013",3,8,2.59,2
"Feb 16, 2013",6,15,2.57,5
"Feb 15, 2013",12,37,3.11,11
"Feb 14, 2013",10,36,3.59,7
"Feb 13, 2013",11,24,2.22,7
"Feb 12, 2013",17,66,3.86,11
"Feb 11, 2013",12,31,2.58,11
"Feb 10, 2013",11,49,4.44,9
"Feb 09, 2013",5,18,3.60,5
"Feb 08, 2013",13,47,3.64,10
"Feb 07, 2013",5,11,2.27,4
"Feb 06, 2013",6,16,2.73,5
"Feb 05, 2013",14,42,3.01,9
"Feb 04, 2013",7,31,4.37,7
"Feb 03, 2013",11,38,3.42,11
"Feb 02, 2013",12,36,2.98,11
"Feb 01, 2013",6,18,2.92,6
"Jan 31, 2013",9,27,3.02,6
"Jan 30, 2013",10,31,3.13,7
"Jan 29, 2013",12,49,4.08,8
"Jan 28, 2013",11,14,1.27,8
"Jan 27, 2013",8,22,2.72,8
"Jan 26, 2013",8,25,3.17,7
"Jan 25, 2013",3,12,4.06,3
"Jan 24, 2013",12,40,3.31,10
"Jan 23, 2013",19,122,6.41,16
"Jan 22, 2013",10,19,1.92,8
"Jan 21, 2013",12,49,4.12,11
"Jan 20, 2013",10,29,2.91,8
"Jan 19, 2013",7,12,1.78,6
"Jan 18, 2013",6,15,2.46,5
"Jan 17, 2013",12,59,4.91,11
"Jan 16, 2013",10,30,2.97,8
"Jan 15, 2013",4,8,1.94,3
"Jan 14, 2013",10,45,4.48,8
"Jan 13, 2013",5,14,2.78,5
"Jan 12, 2013",8,35,4.41,8
"Jan 11, 2013",8,28,3.47,5
"Jan 10, 2013",6,18,3.08,4
"Jan 09, 2013",12,38,3.13,10
"Jan 08, 2013",9,19,2.10,9
"Jan 07, 2013",17,45,2.65,14
"Jan 06, 2013",11,32,2.89,10
"Jan 05, 2013",3,7,2.22,3
"Jan 04, 2013",12,33,2.73,11
"Jan 03, 2013",5,10,1.97,5
"Jan 02, 2013",7,16,2.23,7
"Jan 01, 2013",6,2,0.29,4
"Dec 31, 2012",0,0,0.00,0
"Dec 30, 2012",1,2,2.50,1
"Dec 29, 2012",5,31,6.22,4
"Dec 28, 2012",7,17,2.41,6
"Dec 27, 2012",10,23,2.31,8
"Dec 26, 2012",4,11,2.71,4
"Dec 25, 2012",3,6,2.14,2
"Dec 24, 2012",4,5,1.24,3
"Dec 23, 2012",4,14,3.52,4
"Dec 22, 2012",5,30,6.03,5
"Dec 21, 2012",8,15,1.85,7
"Dec 20, 2012",11,40,3.66,11
"Dec 19, 2012",14,61,4.36,13
"Dec 18, 2012",13,41,3.18,9
"Dec 17, 2012",12,52,4.31,10
"Dec 16, 2012",13,50,3.85,12
"Dec 15, 2012",13,31,2.38,13
"Dec 14, 2012",12,29,2.38,12
"Dec 13, 2012",11,43,3.92,11
"Dec 12, 2012",39,143,3.66,30
"Dec 11, 2012",41,141,3.43,35
"Dec 10, 2012",18,64,3.58,16
"Dec 09, 2012",39,95,2.44,28
"Dec 08, 2012",22,56,2.56,20
"Dec 07, 2012",12,59,4.95,8
"Dec 06, 2012",32,50,1.56,26
"Dec 05, 2012",16,42,2.62,14
"Dec 04, 2012",34,75,2.21,25
"Dec 03, 2012",30,107,3.56,26
"Dec 02, 2012",22,44,2.01,20
"Dec 01, 2012",14,33,2.38,13
"Nov 30, 2012",19,89,4.70,14
"Nov 29, 2012",20,39,1.97,18
"Nov 28, 2012",35,105,3.01,31
"Nov 27, 2012",21,95,4.54,21
"Nov 26, 2012",31,120,3.88,26
"Nov 25, 2012",14,26,1.87,13
"Nov 24, 2012",11,55,5.00,9
"Nov 23, 2012",10,27,2.66,7
"Nov 22, 2012",16,65,4.09,11
"Nov 21, 2012",23,61,2.67,20
"Nov 20, 2012",19,41,2.18,18
"Nov 19, 2012",33,134,4.07,29
"Nov 18, 2012",16,37,2.34,15
"Nov 17, 2012",22,31,1.41,19
"Nov 16, 2012",18,55,3.03,17
"Nov 15, 2012",21,41,1.95,18
"Nov 14, 2012",17,82,4.84,15
"Nov 13, 2012",26,68,2.62,25
"Nov 12, 2012",25,37,1.47,22
"Nov 11, 2012",32,97,3.03,28
"Nov 10, 2012",14,41,2.91,10
"Nov 09, 2012",18,50,2.76,16
"Nov 08, 2012",19,111,5.82,12
"Nov 07, 2012",20,59,2.95,16
"Nov 06, 2012",11,37,3.41,10
"Nov 05, 2012",26,58,2.24,22
"Nov 04, 2012",17,55,3.24,16
"Nov 03, 2012",19,49,2.57,13
"Nov 02, 2012",12,46,3.82,10
"Nov 01, 2012",11,38,3.46,10
"Oct 31, 2012",19,55,2.90,15
"Oct 30, 2012",16,73,4.55,13
"Oct 29, 2012",17,39,2.32,14
"Oct 28, 2012",15,49,3.25,14
"Oct 27, 2012",8,28,3.52,7
"Oct 26, 2012",6,7,1.09,5
"Oct 25, 2012",9,31,3.42,9
"Oct 24, 2012",21,54,2.59,16
"Oct 23, 2012",23,108,4.71,20
"Oct 22, 2012",18,52,2.86,13
"Oct 21, 2012",10,32,3.21,9
"Oct 20, 2012",12,24,2.02,8
"Oct 19, 2012",12,52,4.35,12
"Oct 18, 2012",18,56,3.09,12
"Oct 17, 2012",18,96,5.32,15
"Oct 16, 2012",11,43,3.88,10
"Oct 15, 2012",13,22,1.71,11
"Oct 14, 2012",11,58,5.27,9
"Oct 13, 2012",21,33,1.58,16
"Oct 12, 2012",8,15,1.91,6
"Oct 11, 2012",10,29,2.89,8
"Oct 10, 2012",12,33,2.76,9
"Oct 09, 2012",11,13,1.20,9
"Oct 08, 2012",15,28,1.90,14
