Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",12,20,1.68,9
"Mar 19, 2013",8,17,2.16,7
"Mar 18, 2013",12,40,3.31,11
"Mar 17, 2013",15,35,2.35,12
"Mar 16, 2013",13,23,1.77,11
"Mar 15, 2013",13,32,2.45,9
"Mar 14, 2013",14,33,2.35,12
"Mar 13, 2013",10,22,2.20,9
"Mar 12, 2013",19,39,2.08,16
"Mar 11, 2013",15,32,2.14,10
"Mar 10, 2013",20,36,1.78,13
"Mar 09, 2013",10,17,1.65,8
"Mar 08, 2013",6,10,1.67,5
"Mar 07, 2013",13,41,3.18,10
"Mar 06, 2013",20,49,2.44,17
"Mar 05, 2013",14,49,3.49,12
"Mar 04, 2013",19,52,2.76,15
"Mar 03, 2013",12,29,2.45,12
"Mar 02, 2013",9,15,1.64,8
"Mar 01, 2013",9,12,1.30,9
"Feb 28, 2013",18,39,2.19,13
"Feb 27, 2013",22,42,1.92,18
"Feb 26, 2013",14,37,2.62,14
"Feb 25, 2013",18,35,1.94,15
"Feb 24, 2013",21,56,2.66,16
"Feb 23, 2013",21,49,2.34,14
"Feb 22, 2013",13,40,3.08,11
"Feb 21, 2013",14,23,1.67,12
"Feb 20, 2013",21,32,1.51,19
"Feb 19, 2013",11,34,3.09,10
"Feb 18, 2013",17,36,2.12,13
"Feb 17, 2013",13,16,1.26,12
"Feb 16, 2013",8,26,3.27,7
"Feb 15, 2013",10,16,1.63,7
"Feb 14, 2013",17,41,2.41,15
"Feb 13, 2013",11,17,1.58,11
"Feb 12, 2013",21,48,2.28,16
"Feb 11, 2013",24,64,2.66,19
"Feb 10, 2013",29,91,3.12,27
"Feb 09, 2013",23,43,1.85,20
"Feb 08, 2013",16,47,2.93,15
"Feb 07, 2013",11,43,3.94,11
"Feb 06, 2013",20,73,3.66,16
"Feb 05, 2013",26,55,2.13,23
"Feb 04, 2013",10,25,2.53,8
"Feb 03, 2013",27,65,2.39,24
"Feb 02, 2013",14,63,4.52,13
"Feb 01, 2013",6,24,3.93,6
"Jan 31, 2013",20,49,2.43,17
"Jan 30, 2013",16,42,2.61,15
"Jan 29, 2013",33,84,2.55,28
"Jan 28, 2013",33,85,2.57,29
"Jan 27, 2013",20,27,1.36,18
"Jan 26, 2013",14,41,2.89,13
"Jan 25, 2013",10,27,2.67,9
"Jan 24, 2013",33,92,2.79,31
"Jan 23, 2013",29,78,2.69,22
"Jan 22, 2013",16,60,3.74,13
"Jan 21, 2013",27,76,2.82,20
"Jan 20, 2013",23,74,3.20,18
"Jan 19, 2013",25,64,2.54,21
"Jan 18, 2013",20,51,2.56,17
"Jan 17, 2013",13,39,2.97,11
"Jan 16, 2013",14,26,1.88,8
"Jan 15, 2013",14,46,3.32,13
"Jan 14, 2013",11,31,2.82,10
"Jan 13, 2013",24,47,1.96,17
"Jan 12, 2013",9,36,3.95,8
"Jan 11, 2013",11,34,3.10,10
"Jan 10, 2013",13,30,2.28,12
"Jan 09, 2013",8,21,2.58,8
"Jan 08, 2013",11,24,2.14,8
"Jan 07, 2013",6,18,3.06,6
"Jan 06, 2013",10,11,1.06,10
"Jan 05, 2013",10,31,3.12,9
"Jan 04, 2013",13,41,3.16,9
"Jan 03, 2013",11,36,3.29,9
"Jan 02, 2013",10,29,2.86,10
"Jan 01, 2013",4,4,0.91,2
"Dec 31, 2012",3,1,0.41,1
"Dec 30, 2012",4,7,1.64,4
"Dec 29, 2012",5,10,2.05,5
"Dec 28, 2012",8,22,2.72,8
"Dec 27, 2012",7,20,2.85,7
"Dec 26, 2012",5,6,1.19,5
"Dec 25, 2012",2,1,0.26,2
"Dec 24, 2012",5,9,1.74,4
"Dec 23, 2012",9,20,2.23,6
"Dec 22, 2012",6,14,2.32,5
"Dec 21, 2012",3,12,3.90,3
"Dec 20, 2012",13,26,1.96,7
"Dec 19, 2012",6,16,2.69,4
"Dec 18, 2012",10,22,2.19,10
"Dec 17, 2012",10,27,2.74,8
"Dec 16, 2012",16,51,3.21,12
"Dec 15, 2012",9,29,3.25,8
"Dec 14, 2012",11,25,2.26,11
"Dec 13, 2012",12,25,2.12,12
"Dec 12, 2012",16,55,3.45,15
"Dec 11, 2012",18,51,2.86,12
"Dec 10, 2012",17,29,1.69,15
"Dec 09, 2012",23,46,2.02,20
"Dec 08, 2012",7,13,1.82,7
"Dec 07, 2012",15,36,2.41,13
"Dec 06, 2012",17,37,2.16,15
"Dec 05, 2012",14,47,3.32,12
"Dec 04, 2012",16,50,3.10,11
"Dec 03, 2012",14,22,1.60,11
"Dec 02, 2012",15,46,3.09,14
"Dec 01, 2012",21,32,1.51,15
"Nov 30, 2012",13,41,3.13,9
"Nov 29, 2012",26,59,2.26,25
"Nov 28, 2012",18,26,1.45,16
"Nov 27, 2012",10,34,3.43,9
"Nov 26, 2012",11,25,2.26,10
"Nov 25, 2012",19,60,3.13,17
"Nov 24, 2012",20,46,2.29,16
"Nov 23, 2012",5,16,3.20,4
"Nov 22, 2012",13,17,1.32,13
"Nov 21, 2012",22,43,1.95,16
"Nov 20, 2012",20,50,2.50,19
"Nov 19, 2012",19,45,2.35,14
"Nov 18, 2012",30,62,2.07,20
"Nov 17, 2012",15,48,3.18,13
"Nov 16, 2012",16,40,2.48,13
"Nov 15, 2012",12,21,1.76,8
"Nov 14, 2012",19,50,2.63,17
"Nov 13, 2012",14,23,1.63,10
"Nov 12, 2012",23,56,2.41,21
"Nov 11, 2012",27,58,2.16,25
"Nov 10, 2012",37,73,1.99,27
"Nov 09, 2012",22,49,2.23,16
"Nov 08, 2012",25,54,2.14,20
"Nov 07, 2012",23,49,2.12,19
"Nov 06, 2012",14,39,2.78,10
"Nov 05, 2012",23,55,2.37,19
"Nov 04, 2012",18,51,2.81,16
"Nov 03, 2012",20,50,2.49,17
"Nov 02, 2012",22,72,3.29,18
"Nov 01, 2012",21,63,3.00,18
"Oct 31, 2012",9,26,2.93,9
"Oct 30, 2012",14,43,3.05,13
"Oct 29, 2012",20,34,1.72,18
"Oct 28, 2012",12,23,1.94,11
"Oct 27, 2012",19,44,2.32,16
"Oct 26, 2012",14,44,3.18,11
"Oct 25, 2012",20,47,2.36,17
"Oct 24, 2012",19,50,2.65,14
"Oct 23, 2012",42,90,2.14,30
"Oct 22, 2012",24,45,1.88,19
"Oct 21, 2012",28,54,1.95,23
"Oct 20, 2012",17,54,3.16,14
"Oct 19, 2012",14,34,2.45,13
"Oct 18, 2012",21,61,2.88,19
"Oct 17, 2012",30,53,1.77,24
"Oct 16, 2012",19,49,2.56,17
"Oct 15, 2012",27,47,1.74,25
"Oct 14, 2012",22,62,2.83,19
"Oct 13, 2012",14,32,2.29,14
"Oct 12, 2012",20,61,3.04,17
"Oct 11, 2012",24,56,2.34,20
"Oct 10, 2012",31,77,2.47,25
"Oct 09, 2012",34,90,2.64,30
"Oct 08, 2012",21,51,2.41,20
"Oct 07, 2012",22,61,2.78,15
"Oct 06, 2012",13,36,2.77,12
"Oct 05, 2012",23,56,2.43,18
"Oct 04, 2012",32,71,2.23,27
"Oct 03, 2012",20,53,2.66,16
"Oct 02, 2012",17,28,1.64,11
"Oct 01, 2012",21,26,1.25,17
"Sep 30, 2012",21,46,2.17,18
"Sep 29, 2012",14,44,3.13,12
"Sep 28, 2012",14,31,2.22,13
"Sep 27, 2012",10,18,1.78,9
"Sep 26, 2012",27,78,2.90,27
"Sep 25, 2012",36,86,2.38,30
"Sep 24, 2012",23,56,2.42,17
"Sep 23, 2012",14,42,3.02,12
"Sep 22, 2012",16,40,2.52,14
"Sep 21, 2012",11,29,2.68,10
"Sep 20, 2012",8,22,2.80,6
"Sep 19, 2012",12,26,2.18,11
"Sep 18, 2012",5,16,3.11,5
"Sep 17, 2012",19,67,3.51,18
"Sep 16, 2012",15,39,2.57,13
"Sep 15, 2012",6,1,0.17,4
"Sep 14, 2012",16,39,2.41,10
"Sep 13, 2012",22,45,2.02,19
"Sep 12, 2012",17,32,1.86,15
"Sep 11, 2012",17,50,2.95,14
"Sep 10, 2012",7,21,3.02,6
"Sep 09, 2012",8,17,2.16,7
"Sep 08, 2012",9,33,3.64,7
"Sep 07, 2012",4,9,2.16,3
"Sep 06, 2012",13,27,2.11,10
"Sep 05, 2012",18,41,2.28,18
"Sep 04, 2012",1,0,0.49,1
"Sep 03, 2012",4,6,1.46,4
"Sep 02, 2012",12,27,2.28,7
"Sep 01, 2012",6,17,2.89,4
