Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",5,14,2.85,5
"Mar 19, 2013",3,8,2.72,2
"Mar 18, 2013",1,1,1.12,1
"Mar 17, 2013",0,0,0.00,0
"Mar 16, 2013",0,0,0.00,0
"Mar 15, 2013",2,8,3.81,2
"Mar 14, 2013",1,0,0.16,1
"Mar 13, 2013",4,14,3.42,3
"Mar 12, 2013",3,8,2.75,3
"Mar 11, 2013",4,2,0.55,4
"Mar 10, 2013",2,2,0.87,2
"Mar 09, 2013",0,0,0.00,0
"Mar 08, 2013",1,0,0.41,1
"Mar 07, 2013",0,0,0.00,0
"Mar 06, 2013",3,6,2.12,3
"Mar 05, 2013",2,12,6.21,1
"Mar 04, 2013",0,0,0.00,0
"Mar 03, 2013",0,0,0.00,0
"Mar 02, 2013",1,1,1.17,1
"Mar 01, 2013",0,0,0.00,0
"Feb 28, 2013",2,4,2.01,2
"Feb 27, 2013",6,21,3.50,4
"Feb 26, 2013",1,0,0.22,1
"Feb 25, 2013",4,2,0.45,4
"Feb 24, 2013",1,3,3.13,1
"Feb 23, 2013",1,2,1.84,1
"Feb 22, 2013",1,2,1.70,1
"Feb 21, 2013",0,0,0.00,0
"Feb 20, 2013",3,10,3.37,1
"Feb 19, 2013",4,12,3.03,3
"Feb 18, 2013",3,6,2.13,3
"Feb 17, 2013",2,6,2.87,2
"Feb 16, 2013",3,16,5.43,3
"Feb 15, 2013",5,18,3.66,5
"Feb 14, 2013",1,3,3.16,1
"Feb 13, 2013",1,0,0.44,1
"Feb 12, 2013",3,4,1.21,3
"Feb 11, 2013",2,6,3.04,2
"Feb 10, 2013",3,2,0.80,3
"Feb 09, 2013",1,7,6.94,1
"Feb 08, 2013",0,0,0.00,0
"Feb 07, 2013",2,8,4.11,2
"Feb 06, 2013",2,2,0.89,2
"Feb 05, 2013",4,10,2.60,4
"Feb 04, 2013",1,1,0.50,1
"Feb 03, 2013",2,3,1.73,2
"Feb 02, 2013",1,6,5.70,1
"Feb 01, 2013",1,0,0.33,1
"Jan 31, 2013",2,6,2.85,2
"Jan 30, 2013",0,0,0.00,0
"Jan 29, 2013",4,5,1.16,3
"Jan 28, 2013",3,8,2.60,2
"Jan 27, 2013",1,0,0.07,1
"Jan 26, 2013",1,6,6.50,1
"Jan 25, 2013",4,6,1.54,3
"Jan 24, 2013",1,0,0.32,1
"Jan 23, 2013",4,8,2.07,4
"Jan 22, 2013",0,0,0.00,0
"Jan 21, 2013",2,0,0.25,2
"Jan 20, 2013",3,7,2.43,3
"Jan 19, 2013",2,11,5.28,1
"Jan 18, 2013",1,5,4.85,1
"Jan 17, 2013",1,6,6.23,1
"Jan 16, 2013",3,13,4.43,3
"Jan 15, 2013",5,18,3.65,3
"Jan 14, 2013",3,8,2.83,3
"Jan 13, 2013",6,26,4.38,5
"Jan 12, 2013",4,5,1.21,4
"Jan 11, 2013",2,7,3.43,2
"Jan 10, 2013",6,17,2.82,6
"Jan 09, 2013",4,17,4.34,2
"Jan 08, 2013",5,2,0.43,5
"Jan 07, 2013",0,0,0.00,0
"Jan 06, 2013",1,3,3.32,1
"Jan 05, 2013",1,2,1.81,1
"Jan 04, 2013",3,0,0.00,3
"Jan 03, 2013",0,0,0.00,0
"Jan 02, 2013",1,5,4.54,1
"Jan 01, 2013",1,1,1.13,1
"Dec 31, 2012",1,0,0.42,1
"Dec 30, 2012",0,0,0.00,0
"Dec 29, 2012",1,7,6.74,1
"Dec 28, 2012",0,0,0.00,0
"Dec 27, 2012",0,0,0.00,0
"Dec 26, 2012",0,0,0.00,0
"Dec 25, 2012",1,6,5.78,1
"Dec 24, 2012",3,10,3.26,1
"Dec 23, 2012",1,0,0.00,1
"Dec 22, 2012",0,0,0.00,0
"Dec 21, 2012",0,0,0.00,0
"Dec 20, 2012",3,9,2.91,3
"Dec 19, 2012",5,9,1.77,4
"Dec 18, 2012",1,1,0.65,1
"Dec 17, 2012",2,2,0.99,2
"Dec 16, 2012",3,9,3.11,2
"Dec 15, 2012",2,5,2.60,2
"Dec 14, 2012",4,12,3.04,4
"Dec 13, 2012",9,28,3.16,8
"Dec 12, 2012",8,10,1.22,7
"Dec 11, 2012",7,25,3.55,6
"Dec 10, 2012",6,20,3.29,6
"Dec 09, 2012",7,16,2.34,6
"Dec 08, 2012",6,7,1.23,5
"Dec 07, 2012",2,6,2.92,1
"Dec 06, 2012",2,0,0.00,1
"Dec 05, 2012",6,12,2.03,3
"Dec 04, 2012",5,14,2.82,5
"Dec 03, 2012",2,4,1.82,2
"Dec 02, 2012",2,2,0.77,2
"Dec 01, 2012",2,9,4.53,2
"Nov 30, 2012",1,1,1.17,1
"Nov 29, 2012",1,5,5.41,1
"Nov 28, 2012",4,15,3.83,4
"Nov 27, 2012",3,11,3.76,3
"Nov 26, 2012",2,7,3.69,2
"Nov 25, 2012",2,6,2.93,2
"Nov 24, 2012",0,0,0.00,0
"Nov 23, 2012",4,18,4.54,4
"Nov 22, 2012",0,0,0.00,0
"Nov 21, 2012",3,11,3.72,3
"Nov 20, 2012",3,8,2.82,3
"Nov 19, 2012",4,7,1.70,4
"Nov 18, 2012",5,12,2.46,5
"Nov 17, 2012",2,11,5.41,2
"Nov 16, 2012",1,6,5.68,1
"Nov 15, 2012",6,18,3.03,4
"Nov 14, 2012",1,1,0.82,1
"Nov 13, 2012",7,28,4.06,6
"Nov 12, 2012",7,18,2.63,6
"Nov 11, 2012",3,0,0.12,3
"Nov 10, 2012",1,0,0.27,1
"Nov 09, 2012",3,13,4.22,3
"Nov 08, 2012",4,10,2.52,4
"Nov 07, 2012",5,13,2.54,5
"Nov 06, 2012",2,10,5.23,2
"Nov 05, 2012",2,2,1.06,2
"Nov 04, 2012",5,12,2.35,4
"Nov 03, 2012",1,1,0.53,1
"Nov 02, 2012",6,21,3.56,4
"Nov 01, 2012",5,9,1.75,4
"Oct 31, 2012",3,9,2.89,3
"Oct 30, 2012",4,14,3.46,4
"Oct 29, 2012",1,1,1.17,1
"Oct 28, 2012",1,5,4.94,1
"Oct 27, 2012",3,8,2.69,3
"Oct 26, 2012",1,0,0.50,1
"Oct 25, 2012",4,16,4.08,4
"Oct 24, 2012",6,12,2.04,4
"Oct 23, 2012",10,37,3.73,9
"Oct 22, 2012",2,6,2.85,1
"Oct 21, 2012",4,17,4.28,3
"Oct 20, 2012",2,11,5.75,1
"Oct 19, 2012",2,1,0.70,2
"Oct 18, 2012",1,0,0.34,1
"Oct 17, 2012",4,16,3.88,3
"Oct 16, 2012",4,6,1.58,3
"Oct 15, 2012",4,13,3.14,4
"Oct 14, 2012",3,7,2.21,3
"Oct 13, 2012",1,6,5.70,1
"Oct 12, 2012",0,0,0.00,0
"Oct 11, 2012",1,1,0.50,1
"Oct 10, 2012",1,0,0.34,1
"Oct 09, 2012",3,8,2.67,3
"Oct 08, 2012",1,4,3.75,1
"Oct 07, 2012",0,0,0.00,0
"Oct 06, 2012",0,0,0.00,0
"Oct 05, 2012",1,0,0.46,1
"Oct 04, 2012",2,6,2.81,2
"Oct 03, 2012",2,5,2.50,1
"Oct 02, 2012",2,15,7.69,2
"Oct 01, 2012",3,6,1.92,3
"Sep 30, 2012",1,0,0.33,1
"Sep 29, 2012",2,1,0.50,2
"Sep 28, 2012",0,0,0.00,0
"Sep 27, 2012",0,0,0.00,0
"Sep 26, 2012",4,10,2.56,4
"Sep 25, 2012",3,12,4.15,3
"Sep 24, 2012",1,0,0.00,0
"Sep 23, 2012",1,0,0.49,1
"Sep 22, 2012",4,11,2.69,3
"Sep 21, 2012",0,0,0.00,0
"Sep 20, 2012",2,1,0.61,2
"Sep 19, 2012",2,0,0.17,2
"Sep 18, 2012",1,0,0.00,0
"Sep 17, 2012",0,0,0.00,0
"Sep 16, 2012",0,0,0.00,0
"Sep 15, 2012",3,0,0.11,2
"Sep 14, 2012",5,10,2.03,3
"Sep 13, 2012",3,8,2.83,3
"Sep 12, 2012",1,2,1.83,1
"Sep 11, 2012",0,0,0.00,0
"Sep 10, 2012",1,5,4.93,1
"Sep 09, 2012",3,7,2.45,3
"Sep 08, 2012",2,1,0.60,2
"Sep 07, 2012",0,0,0.00,0
