Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",1,1,1.17,1
"Mar 19, 2013",2,2,0.98,2
"Mar 18, 2013",3,14,4.63,3
"Mar 17, 2013",4,13,3.17,3
"Mar 16, 2013",0,0,0.00,0
"Mar 15, 2013",2,0,0.00,2
"Mar 14, 2013",2,16,7.78,2
"Mar 13, 2013",3,4,1.39,3
"Mar 12, 2013",3,3,1.04,2
"Mar 11, 2013",4,6,1.42,4
"Mar 10, 2013",2,0,0.11,2
"Mar 09, 2013",3,17,5.57,3
"Mar 08, 2013",1,0,0.00,1
"Mar 07, 2013",3,0,0.15,3
"Mar 06, 2013",4,35,8.77,4
"Mar 05, 2013",1,1,0.50,1
"Mar 04, 2013",9,51,5.68,9
"Mar 03, 2013",6,15,2.48,4
"Mar 02, 2013",2,69,34.34,2
"Mar 01, 2013",3,2,0.77,2
"Feb 28, 2013",6,23,3.86,4
"Feb 27, 2013",4,7,1.79,4
"Feb 26, 2013",1,1,1.37,1
"Feb 25, 2013",2,15,7.67,1
"Feb 24, 2013",2,15,7.71,1
"Feb 23, 2013",5,38,7.61,5
"Feb 22, 2013",1,2,2.49,1
"Feb 21, 2013",6,39,6.56,6
"Feb 20, 2013",2,4,2.02,2
"Feb 19, 2013",4,8,2.12,3
"Feb 18, 2013",3,1,0.33,3
"Feb 17, 2013",8,36,4.45,5
"Feb 16, 2013",1,15,14.96,1
"Feb 15, 2013",3,10,3.29,3
"Feb 14, 2013",3,17,5.75,3
"Feb 13, 2013",8,58,7.24,6
"Feb 12, 2013",5,10,1.99,4
"Feb 11, 2013",3,14,4.58,3
"Feb 10, 2013",4,13,3.27,4
"Feb 09, 2013",1,0,0.17,1
"Feb 08, 2013",1,0,0.20,1
"Feb 07, 2013",13,69,5.28,11
"Feb 06, 2013",6,19,3.19,5
"Feb 05, 2013",10,15,1.50,8
"Feb 04, 2013",9,36,4.05,8
"Feb 03, 2013",10,50,4.96,9
"Feb 02, 2013",9,7,0.73,6
"Feb 01, 2013",8,26,3.29,8
"Jan 31, 2013",4,15,3.69,4
"Jan 30, 2013",9,14,1.59,8
"Jan 29, 2013",10,55,5.47,7
"Jan 28, 2013",9,22,2.41,8
"Jan 27, 2013",7,57,8.10,6
"Jan 26, 2013",10,35,3.47,9
"Jan 25, 2013",5,7,1.37,4
"Jan 24, 2013",8,16,2.04,7
"Jan 23, 2013",9,50,5.51,8
"Jan 22, 2013",2,8,3.75,2
"Jan 21, 2013",3,35,11.51,2
"Jan 20, 2013",1,3,2.84,1
"Jan 19, 2013",11,14,1.29,8
"Jan 18, 2013",5,21,4.29,4
"Jan 17, 2013",1,0,0.00,1
"Jan 16, 2013",0,0,0.00,0
"Jan 15, 2013",1,3,3.27,1
"Jan 14, 2013",5,40,8.02,3
"Jan 13, 2013",3,8,2.57,2
"Jan 12, 2013",4,45,11.37,4
"Jan 11, 2013",4,19,4.82,4
"Jan 10, 2013",5,17,3.43,5
"Jan 09, 2013",2,9,4.67,2
"Jan 08, 2013",4,17,4.27,3
"Jan 07, 2013",1,4,4.40,1
"Jan 06, 2013",2,1,0.63,2
"Jan 05, 2013",5,36,7.20,2
"Jan 04, 2013",1,2,1.67,1
"Jan 03, 2013",4,7,1.78,4
"Jan 02, 2013",3,20,6.66,3
"Jan 01, 2013",5,32,6.35,4
"Dec 31, 2012",3,18,5.96,3
"Dec 30, 2012",4,15,3.87,3
"Dec 29, 2012",5,20,4.03,5
"Dec 28, 2012",1,0,0.00,1
"Dec 27, 2012",3,14,4.76,2
"Dec 26, 2012",7,19,2.73,5
"Dec 25, 2012",6,43,7.19,5
"Dec 24, 2012",2,3,1.37,2
"Dec 23, 2012",2,1,0.50,2
"Dec 22, 2012",4,33,8.13,3
"Dec 21, 2012",4,5,1.37,4
"Dec 20, 2012",2,1,0.42,2
"Dec 19, 2012",2,29,14.55,2
"Dec 18, 2012",5,25,4.96,4
"Dec 17, 2012",6,20,3.32,5
"Dec 16, 2012",9,26,2.90,9
"Dec 15, 2012",8,54,6.71,4
"Dec 14, 2012",6,23,3.87,5
"Dec 13, 2012",5,51,10.11,5
"Dec 12, 2012",2,0,0.00,2
"Dec 11, 2012",5,33,6.66,4
"Dec 10, 2012",3,26,8.50,3
"Dec 09, 2012",5,2,0.46,5
"Dec 08, 2012",8,44,5.48,4
"Dec 07, 2012",0,0,0.00,0
"Dec 06, 2012",7,31,4.48,7
"Dec 05, 2012",5,7,1.38,4
"Dec 04, 2012",5,18,3.65,5
"Dec 03, 2012",1,0,0.00,1
"Dec 02, 2012",6,27,4.49,5
"Dec 01, 2012",0,0,0.00,0
"Nov 30, 2012",5,26,5.30,2
"Nov 29, 2012",12,35,2.88,9
"Nov 28, 2012",7,22,3.08,6
"Nov 27, 2012",5,11,2.11,4
"Nov 26, 2012",5,18,3.61,5
"Nov 25, 2012",3,11,3.63,2
"Nov 24, 2012",7,39,5.51,7
"Nov 23, 2012",9,40,4.46,8
"Nov 22, 2012",3,13,4.22,3
"Nov 21, 2012",5,40,8.00,5
"Nov 20, 2012",3,16,5.21,3
"Nov 19, 2012",10,34,3.43,9
"Nov 18, 2012",4,6,1.43,4
