Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",40,94,2.36,34
"Mar 19, 2013",20,92,4.58,19
"Mar 18, 2013",18,55,3.07,17
"Mar 17, 2013",23,91,3.96,21
"Mar 16, 2013",10,31,3.12,10
"Mar 15, 2013",19,68,3.56,17
"Mar 14, 2013",25,73,2.92,23
"Mar 13, 2013",22,105,4.77,19
"Mar 12, 2013",26,111,4.28,24
"Mar 11, 2013",32,94,2.93,28
"Mar 10, 2013",25,59,2.37,19
"Mar 09, 2013",16,77,4.83,14
"Mar 08, 2013",19,77,4.03,19
"Mar 07, 2013",38,165,4.34,37
"Mar 06, 2013",27,108,3.99,22
"Mar 05, 2013",29,116,4.01,25
"Mar 04, 2013",26,84,3.23,23
"Mar 03, 2013",29,104,3.60,25
"Mar 02, 2013",19,78,4.08,16
"Mar 01, 2013",19,48,2.51,14
"Feb 28, 2013",23,79,3.44,21
"Feb 27, 2013",27,73,2.69,24
"Feb 26, 2013",25,106,4.25,14
"Feb 25, 2013",21,108,5.12,19
"Feb 24, 2013",20,74,3.70,14
"Feb 23, 2013",14,55,3.96,12
"Feb 22, 2013",24,81,3.38,17
"Feb 21, 2013",25,126,5.04,20
"Feb 20, 2013",26,86,3.30,23
"Feb 19, 2013",35,137,3.91,29
"Feb 18, 2013",22,82,3.75,17
"Feb 17, 2013",31,151,4.86,24
"Feb 16, 2013",19,93,4.87,16
"Feb 15, 2013",25,111,4.42,22
"Feb 14, 2013",19,53,2.78,15
"Feb 13, 2013",25,86,3.43,16
"Feb 12, 2013",24,130,5.42,23
"Feb 11, 2013",20,64,3.19,16
"Feb 10, 2013",25,89,3.57,24
"Feb 09, 2013",16,76,4.73,15
"Feb 08, 2013",24,81,3.37,22
"Feb 07, 2013",25,106,4.23,23
"Feb 06, 2013",32,113,3.55,26
"Feb 05, 2013",44,179,4.06,37
"Feb 04, 2013",18,62,3.44,18
"Feb 03, 2013",42,142,3.38,34
"Feb 02, 2013",30,89,2.95,24
"Feb 01, 2013",31,133,4.28,26
"Jan 31, 2013",33,120,3.65,26
"Jan 30, 2013",25,94,3.75,23
"Jan 29, 2013",37,148,3.99,32
"Jan 28, 2013",40,170,4.25,28
"Jan 27, 2013",32,88,2.74,26
"Jan 26, 2013",23,74,3.23,19
"Jan 25, 2013",19,115,6.04,17
"Jan 24, 2013",30,101,3.36,28
"Jan 23, 2013",30,125,4.16,21
"Jan 22, 2013",31,123,3.95,25
"Jan 21, 2013",31,87,2.81,28
"Jan 20, 2013",23,83,3.60,18
"Jan 19, 2013",19,73,3.84,16
"Jan 18, 2013",11,71,6.48,10
"Jan 17, 2013",19,89,4.71,15
"Jan 16, 2013",36,178,4.93,28
"Jan 15, 2013",17,62,3.64,16
"Jan 14, 2013",22,74,3.37,21
"Jan 13, 2013",16,55,3.44,15
"Jan 12, 2013",13,50,3.87,11
"Jan 11, 2013",22,77,3.48,13
"Jan 10, 2013",16,78,4.86,11
"Jan 09, 2013",19,69,3.63,18
"Jan 08, 2013",17,81,4.78,13
"Jan 07, 2013",26,90,3.45,21
"Jan 06, 2013",13,52,3.98,12
"Jan 05, 2013",17,62,3.66,11
"Jan 04, 2013",13,32,2.50,10
"Jan 03, 2013",11,39,3.56,11
"Jan 02, 2013",21,77,3.66,16
"Jan 01, 2013",14,63,4.47,13
"Dec 31, 2012",2,1,0.46,2
"Dec 30, 2012",9,13,1.39,9
"Dec 29, 2012",12,39,3.24,10
"Dec 28, 2012",5,11,2.17,3
"Dec 27, 2012",13,40,3.11,10
"Dec 26, 2012",7,13,1.87,7
"Dec 25, 2012",14,44,3.11,14
"Dec 24, 2012",4,2,0.62,4
"Dec 23, 2012",13,57,4.36,10
"Dec 22, 2012",17,51,3.01,11
"Dec 21, 2012",15,66,4.40,15
"Dec 20, 2012",21,56,2.65,19
"Dec 19, 2012",21,99,4.72,19
"Dec 18, 2012",31,122,3.93,26
"Dec 17, 2012",29,118,4.06,26
"Dec 16, 2012",33,155,4.68,30
"Dec 15, 2012",31,99,3.19,27
"Dec 14, 2012",32,99,3.09,28
"Dec 13, 2012",46,169,3.68,39
"Dec 12, 2012",44,183,4.16,41
"Dec 11, 2012",48,179,3.74,41
"Dec 10, 2012",59,189,3.20,50
