Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",4,14,3.58,4
"Mar 19, 2013",9,18,2.02,8
"Mar 18, 2013",5,8,1.68,5
"Mar 17, 2013",8,12,1.48,8
"Mar 16, 2013",13,16,1.23,10
"Mar 15, 2013",3,7,2.25,2
"Mar 14, 2013",4,6,1.50,4
"Mar 13, 2013",5,5,0.95,4
"Mar 12, 2013",3,3,0.92,3
"Mar 11, 2013",4,7,1.64,4
"Mar 10, 2013",11,19,1.68,8
"Mar 09, 2013",6,8,1.27,5
"Mar 08, 2013",1,7,6.82,1
"Mar 07, 2013",6,8,1.26,5
"Mar 06, 2013",13,15,1.19,10
"Mar 05, 2013",13,24,1.82,10
"Mar 04, 2013",11,18,1.63,9
"Mar 03, 2013",78,128,1.65,61
"Mar 02, 2013",10,17,1.75,10
"Mar 01, 2013",10,14,1.40,6
"Feb 28, 2013",7,15,2.14,7
"Feb 27, 2013",14,29,2.06,12
"Feb 26, 2013",9,17,1.84,7
"Feb 25, 2013",13,16,1.20,11
"Feb 24, 2013",9,13,1.47,8
"Feb 23, 2013",6,8,1.41,6
"Feb 22, 2013",8,17,2.10,8
"Feb 21, 2013",12,25,2.07,11
"Feb 20, 2013",10,20,2.03,9
"Feb 19, 2013",6,13,2.10,6
"Feb 18, 2013",7,17,2.37,4
"Feb 17, 2013",13,25,1.94,12
"Feb 16, 2013",9,14,1.52,6
"Feb 15, 2013",10,15,1.48,5
"Feb 14, 2013",12,20,1.68,12
"Feb 13, 2013",8,17,2.17,5
"Feb 12, 2013",7,11,1.59,7
"Feb 11, 2013",8,16,1.95,8
"Feb 10, 2013",8,14,1.69,6
"Feb 09, 2013",4,7,1.71,4
"Feb 08, 2013",5,7,1.32,4
"Feb 07, 2013",4,7,1.72,4
"Feb 06, 2013",3,4,1.48,3
"Feb 05, 2013",6,11,1.80,5
"Feb 04, 2013",8,13,1.62,7
"Feb 03, 2013",4,6,1.45,4
"Feb 02, 2013",8,21,2.59,4
"Feb 01, 2013",3,6,2.02,3
"Jan 31, 2013",5,8,1.60,4
"Jan 30, 2013",6,9,1.50,6
"Jan 29, 2013",4,9,2.30,4
"Jan 28, 2013",3,6,2.11,2
"Jan 27, 2013",2,1,0.58,2
"Jan 26, 2013",16,18,1.09,11
"Jan 25, 2013",9,16,1.73,6
"Jan 24, 2013",7,13,1.86,4
"Jan 23, 2013",10,15,1.52,8
"Jan 22, 2013",7,13,1.83,6
"Jan 21, 2013",13,20,1.53,11
"Jan 20, 2013",6,10,1.66,4
"Jan 19, 2013",7,14,2.07,6
"Jan 18, 2013",14,20,1.44,9
"Jan 17, 2013",5,6,1.18,5
"Jan 16, 2013",8,13,1.64,8
"Jan 15, 2013",16,48,2.98,13
"Jan 14, 2013",8,12,1.48,6
"Jan 13, 2013",5,7,1.32,5
"Jan 12, 2013",7,12,1.72,6
"Jan 11, 2013",2,4,1.84,2
"Jan 10, 2013",3,6,1.85,3
"Jan 09, 2013",3,9,2.96,3
"Jan 08, 2013",10,13,1.29,7
"Jan 07, 2013",6,11,1.86,5
"Jan 06, 2013",2,3,1.29,1
"Jan 05, 2013",5,9,1.76,5
"Jan 04, 2013",5,10,2.05,4
"Jan 03, 2013",6,10,1.59,5
"Jan 02, 2013",7,12,1.75,3
"Jan 01, 2013",3,1,0.39,2
"Dec 31, 2012",2,7,3.59,2
"Dec 30, 2012",3,6,2.03,3
"Dec 29, 2012",8,13,1.64,4
"Dec 28, 2012",1,2,2.25,1
"Dec 27, 2012",4,9,2.34,4
"Dec 26, 2012",5,8,1.53,4
"Dec 25, 2012",1,1,0.50,1
"Dec 24, 2012",0,0,0.00,0
"Dec 23, 2012",0,0,0.00,0
"Dec 22, 2012",9,9,1.05,6
"Dec 21, 2012",5,12,2.38,3
"Dec 20, 2012",4,6,1.51,4
"Dec 19, 2012",4,8,2.06,4
"Dec 18, 2012",6,4,0.66,6
"Dec 17, 2012",11,21,1.90,10
"Dec 16, 2012",8,16,1.96,8
"Dec 15, 2012",6,6,1.01,6
"Dec 14, 2012",3,4,1.47,2
"Dec 13, 2012",6,13,2.20,5
"Dec 12, 2012",9,15,1.68,8
"Dec 11, 2012",13,23,1.77,11
"Dec 10, 2012",8,16,1.94,7
"Dec 09, 2012",10,18,1.78,10
"Dec 08, 2012",5,8,1.60,5
"Dec 07, 2012",9,18,2.05,8
"Dec 06, 2012",17,16,0.94,13
"Dec 05, 2012",15,17,1.13,9
"Dec 04, 2012",7,14,1.99,7
"Dec 03, 2012",13,17,1.30,12
"Dec 02, 2012",7,14,1.93,7
"Dec 01, 2012",4,6,1.61,4
"Nov 30, 2012",1,2,2.45,1
"Nov 29, 2012",7,15,2.11,6
"Nov 28, 2012",9,15,1.69,7
"Nov 27, 2012",9,16,1.76,9
"Nov 26, 2012",9,14,1.57,9
"Nov 25, 2012",8,14,1.72,8
"Nov 24, 2012",10,13,1.34,9
"Nov 23, 2012",11,25,2.27,8
"Nov 22, 2012",8,16,2.05,8
"Nov 21, 2012",13,19,1.46,12
"Nov 20, 2012",11,21,1.94,10
"Nov 19, 2012",19,23,1.21,16
"Nov 18, 2012",21,24,1.16,20
"Nov 17, 2012",7,12,1.77,6
