Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",5,13,2.68,4
"Mar 19, 2013",6,6,0.97,5
"Mar 18, 2013",5,13,2.51,5
"Mar 17, 2013",0,0,0.00,0
"Mar 16, 2013",2,3,1.62,2
"Mar 15, 2013",10,23,2.29,1
"Mar 14, 2013",5,18,3.63,5
"Mar 13, 2013",3,2,0.69,3
"Mar 12, 2013",1,1,0.61,1
"Mar 11, 2013",2,10,4.91,2
"Mar 10, 2013",1,0,0.00,0
"Mar 09, 2013",4,5,1.27,3
"Mar 08, 2013",0,0,0.00,0
"Mar 07, 2013",4,13,3.21,4
"Mar 06, 2013",5,13,2.58,5
"Mar 05, 2013",3,2,0.67,3
"Mar 04, 2013",3,15,4.90,3
"Mar 03, 2013",6,24,4.01,5
"Mar 02, 2013",2,8,3.81,2
"Mar 01, 2013",2,7,3.61,2
"Feb 28, 2013",5,14,2.80,5
"Feb 27, 2013",2,2,1.05,2
"Feb 26, 2013",4,16,3.90,3
"Feb 25, 2013",4,15,3.70,3
"Feb 24, 2013",2,13,6.70,2
"Feb 23, 2013",5,9,1.71,5
"Feb 22, 2013",3,5,1.83,3
"Feb 21, 2013",1,4,3.59,1
"Feb 20, 2013",3,11,3.79,3
"Feb 19, 2013",7,35,5.00,7
"Feb 18, 2013",1,1,1.16,1
"Feb 17, 2013",3,15,4.84,3
"Feb 16, 2013",2,7,3.70,2
"Feb 15, 2013",4,16,4.02,4
"Feb 14, 2013",4,19,4.74,3
"Feb 13, 2013",1,5,4.95,0
"Feb 12, 2013",2,5,2.54,2
"Feb 11, 2013",1,1,1.44,1
"Feb 10, 2013",5,18,3.57,5
"Feb 09, 2013",3,4,1.27,1
"Feb 08, 2013",2,1,0.50,2
"Feb 07, 2013",3,1,0.37,3
"Feb 06, 2013",0,0,0.00,0
"Feb 05, 2013",4,8,2.00,4
"Feb 04, 2013",5,16,3.11,5
"Feb 03, 2013",4,1,0.21,2
"Feb 02, 2013",4,12,2.89,3
"Feb 01, 2013",0,0,0.00,0
"Jan 31, 2013",0,0,0.00,0
"Jan 30, 2013",0,0,0.00,0
"Jan 29, 2013",2,1,0.63,2
"Jan 28, 2013",3,6,2.02,3
"Jan 27, 2013",1,0,0.15,1
"Jan 26, 2013",1,1,1.17,1
