Date,Views,Estimated minutes watched,Average view duration,Unique cookies
"Mar 20, 2013",37,34,0.92,28
"Mar 19, 2013",33,42,1.28,29
"Mar 18, 2013",39,56,1.44,28
"Mar 17, 2013",30,35,1.16,23
"Mar 16, 2013",20,23,1.17,18
"Mar 15, 2013",21,18,0.84,19
"Mar 14, 2013",27,43,1.57,23
"Mar 13, 2013",45,37,0.82,28
"Mar 12, 2013",34,29,0.84,28
"Mar 11, 2013",29,22,0.75,26
"Mar 10, 2013",19,20,1.07,17
"Mar 09, 2013",19,17,0.92,17
"Mar 08, 2013",14,43,3.09,12
"Mar 07, 2013",30,31,1.02,25
"Mar 06, 2013",27,32,1.18,24
"Mar 05, 2013",26,21,0.82,24
"Mar 04, 2013",36,31,0.87,24
"Mar 03, 2013",31,33,1.07,26
"Mar 02, 2013",23,12,0.53,20
"Mar 01, 2013",34,18,0.52,26
"Feb 28, 2013",29,28,0.98,25
"Feb 27, 2013",27,19,0.70,24
"Feb 26, 2013",24,13,0.53,20
"Feb 25, 2013",30,26,0.86,26
"Feb 24, 2013",23,16,0.69,22
"Feb 23, 2013",31,49,1.59,29
"Feb 22, 2013",19,24,1.26,18
"Feb 21, 2013",35,35,1.00,32
"Feb 20, 2013",36,26,0.73,33
"Feb 19, 2013",58,102,1.75,53
"Feb 18, 2013",39,33,0.85,37
"Feb 17, 2013",39,66,1.69,32
"Feb 16, 2013",32,53,1.66,27
"Feb 15, 2013",27,52,1.92,17
"Feb 14, 2013",30,51,1.70,25
"Feb 13, 2013",40,60,1.51,27
"Feb 12, 2013",43,66,1.53,41
"Feb 11, 2013",55,81,1.47,48
"Feb 10, 2013",46,49,1.06,37
"Feb 09, 2013",33,47,1.43,25
"Feb 08, 2013",22,8,0.37,21
"Feb 07, 2013",43,52,1.21,37
"Feb 06, 2013",39,41,1.06,32
"Feb 05, 2013",39,34,0.86,32
"Feb 04, 2013",42,45,1.07,35
"Feb 03, 2013",19,32,1.70,18
"Feb 02, 2013",31,52,1.68,28
"Feb 01, 2013",33,32,0.97,31
"Jan 31, 2013",22,13,0.58,19
"Jan 30, 2013",36,37,1.04,29
"Jan 29, 2013",23,25,1.08,21
"Jan 28, 2013",24,49,2.02,20
"Jan 27, 2013",29,28,0.98,25
"Jan 26, 2013",24,30,1.24,21
"Jan 25, 2013",23,21,0.89,19
"Jan 24, 2013",25,51,2.02,20
"Jan 23, 2013",36,26,0.73,31
"Jan 22, 2013",50,49,0.98,40
"Jan 21, 2013",28,46,1.64,27
"Jan 20, 2013",35,21,0.61,29
"Jan 19, 2013",19,36,1.90,18
"Jan 18, 2013",19,15,0.78,19
"Jan 17, 2013",35,96,2.74,35
"Jan 16, 2013",28,39,1.39,23
"Jan 15, 2013",25,10,0.41,22
"Jan 14, 2013",32,29,0.91,26
"Jan 13, 2013",30,13,0.44,29
"Jan 12, 2013",28,54,1.93,24
"Jan 11, 2013",34,43,1.26,30
"Jan 10, 2013",50,80,1.60,45
"Jan 09, 2013",29,35,1.20,28
"Jan 08, 2013",46,40,0.87,34
"Jan 07, 2013",40,102,2.55,34
"Jan 06, 2013",53,92,1.74,43
"Jan 05, 2013",49,58,1.18,40
"Jan 04, 2013",40,91,2.26,31
"Jan 03, 2013",33,73,2.22,29
"Jan 02, 2013",23,49,2.13,19
"Jan 01, 2013",13,15,1.18,12
"Dec 31, 2012",20,3,0.13,16
"Dec 30, 2012",20,9,0.44,15
"Dec 29, 2012",11,18,1.63,11
"Dec 28, 2012",18,43,2.40,17
"Dec 27, 2012",15,1,0.08,11
"Dec 26, 2012",14,119,8.51,12
"Dec 25, 2012",10,23,2.30,10
"Dec 24, 2012",15,9,0.62,13
"Dec 23, 2012",14,32,2.29,12
"Dec 22, 2012",9,35,3.85,8
"Dec 21, 2012",16,45,2.81,14
"Dec 20, 2012",20,6,0.31,16
"Dec 19, 2012",28,81,2.88,27
"Dec 18, 2012",29,61,2.09,28
"Dec 17, 2012",42,111,2.65,37
"Dec 16, 2012",44,92,2.08,38
"Dec 15, 2012",33,36,1.08,31
"Dec 14, 2012",33,24,0.72,27
"Dec 13, 2012",63,63,1.01,51
"Dec 12, 2012",60,99,1.66,52
"Dec 11, 2012",74,55,0.74,61
"Dec 10, 2012",63,173,2.74,53
"Dec 09, 2012",82,125,1.53,69
"Dec 08, 2012",58,48,0.83,47
"Dec 07, 2012",65,67,1.03,52
"Dec 06, 2012",47,137,2.92,42
"Dec 05, 2012",28,41,1.47,28
"Dec 04, 2012",37,12,0.34,29
"Dec 03, 2012",40,34,0.85,38
"Dec 02, 2012",46,59,1.29,42
"Dec 01, 2012",29,20,0.70,22
