Date,Total estimated earnings,AFV earnings,YouTube earnings,Transactions
"Mar 18, 2013",$0.14,$0.14,$0.00,$0.00
"Mar 13, 2013",$0.05,$0.05,$0.00,$0.00
"Mar 12, 2013",$0.34,$0.34,$0.00,$0.00
"Mar 11, 2013",$0.01,$0.01,$0.00,$0.00
"Mar 08, 2013",$0.05,$0.05,$0.00,$0.00
"Mar 04, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 27, 2013",$0.03,$0.01,$0.02,$0.00
"Feb 26, 2013",$0.02,$0.00,$0.02,$0.00
"Feb 25, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 23, 2013",$0.04,$0.04,$0.00,$0.00
"Feb 21, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 14, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 12, 2013",$0.08,$0.08,$0.00,$0.00
"Feb 11, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 06, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 01, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 30, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 27, 2013",$0.05,$0.05,$0.00,$0.00
"Jan 23, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 22, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 20, 2013",$0.03,$0.03,$0.00,$0.00
"Jan 15, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 12, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 04, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 03, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 01, 2013",$0.03,$0.03,$0.00,$0.00
"Dec 21, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 19, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 15, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 10, 2012",$0.02,$0.02,$0.01,$0.00
"Dec 09, 2012",$0.04,$0.04,$0.00,$0.00
"Dec 08, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 06, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 04, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 03, 2012",$0.01,$0.01,$0.00,$0.00
"Dec 01, 2012",$0.08,$0.07,$0.01,$0.00
"Nov 24, 2012",$0.05,$0.05,$0.00,$0.00
"Nov 23, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 20, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 18, 2012",$0.02,$0.00,$0.02,$0.00
"Nov 15, 2012",$0.06,$0.06,$0.00,$0.00
"Nov 13, 2012",$0.01,$0.01,$0.00,$0.00
"Nov 07, 2012",$0.03,$0.03,$0.00,$0.00
"Nov 06, 2012",$0.06,$0.06,$0.00,$0.00
"Nov 04, 2012",$0.20,$0.20,$0.00,$0.00
"Oct 31, 2012",$0.10,$0.10,$0.00,$0.00
"Oct 29, 2012",$0.10,$0.09,$0.00,$0.00
"Oct 28, 2012",$0.13,$0.13,$0.00,$0.00
"Oct 27, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 23, 2012",$0.03,$0.03,$0.00,$0.00
"Oct 19, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 18, 2012",$0.01,$0.01,$0.00,$0.00
"Oct 17, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 16, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 15, 2012",$0.02,$0.00,$0.02,$0.00
"Oct 13, 2012",$0.07,$0.07,$0.00,$0.00
"Oct 04, 2012",$0.02,$0.00,$0.02,$0.00
"Sep 30, 2012",$0.07,$0.07,$0.00,$0.00
"Sep 29, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 28, 2012",$0.07,$0.06,$0.01,$0.00
"Sep 26, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 25, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 17, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 16, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 14, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 09, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 07, 2012",$0.06,$0.06,$0.00,$0.00
"Sep 04, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 03, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 02, 2012",$0.03,$0.03,$0.00,$0.00
