Date,Total estimated earnings,AFV earnings,YouTube earnings,Transactions
"Mar 17, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 11, 2013",$0.07,$0.07,$0.00,$0.00
"Mar 06, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 05, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 03, 2013",$0.04,$0.04,$0.00,$0.00
"Feb 28, 2013",$0.01,$0.01,$0.00,$0.00
"Feb 27, 2013",$0.09,$0.09,$0.00,$0.00
"Feb 25, 2013",$0.06,$0.06,$0.00,$0.00
"Feb 20, 2013",$0.02,$0.02,$0.00,$0.00
"Feb 19, 2013",$0.07,$0.07,$0.00,$0.00
"Feb 10, 2013",$0.09,$0.09,$0.00,$0.00
"Feb 05, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 03, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 01, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 29, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 21, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 18, 2013",$0.01,$0.01,$0.00,$0.00
"Jan 17, 2013",$0.03,$0.03,$0.00,$0.00
"Jan 07, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 02, 2013",$0.00,$0.00,$0.00,$0.00
"Dec 26, 2012",$0.03,$0.03,$0.00,$0.00
"Dec 24, 2012",$0.10,$0.10,$0.00,$0.00
"Dec 21, 2012",$0.02,$0.02,$0.00,$0.00
"Dec 20, 2012",$0.02,$0.02,$0.00,$0.00
"Dec 19, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 13, 2012",$0.01,$0.01,$0.00,$0.00
"Dec 09, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 08, 2012",$0.02,$0.02,$0.00,$0.00
"Dec 06, 2012",$0.10,$0.10,$0.00,$0.00
"Dec 05, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 04, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 03, 2012",$0.03,$0.03,$0.00,$0.00
"Dec 02, 2012",$0.02,$0.02,$0.00,$0.00
"Nov 30, 2012",$0.08,$0.08,$0.00,$0.00
"Nov 29, 2012",$0.33,$0.33,$0.00,$0.00
"Nov 26, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 25, 2012",$0.06,$0.06,$0.00,$0.00
"Nov 20, 2012",$0.07,$0.07,$0.00,$0.00
"Nov 15, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 14, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 13, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 10, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 08, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 29, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 28, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 27, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 26, 2012",$0.02,$0.02,$0.00,$0.00
"Oct 25, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 24, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 23, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 22, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 21, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 19, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 18, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 17, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 14, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 09, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 07, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 06, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 05, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 02, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 30, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 28, 2012",$0.01,$0.01,$0.00,$0.00
"Sep 27, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 26, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 19, 2012",$1.25,$1.25,$0.00,$0.00
"Sep 18, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 17, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 15, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 14, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 13, 2012",$0.00,$0.00,$0.00,$0.00
