Date,Total estimated earnings,AFV earnings,YouTube earnings,Transactions
"Mar 18, 2013",$0.03,$0.03,$0.00,$0.00
"Mar 15, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 13, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 25, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 20, 2013",$0.01,$0.01,$0.00,$0.00
"Feb 19, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 17, 2013",$0.01,$0.00,$0.00,$0.00
"Feb 14, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 12, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 09, 2013",$0.03,$0.03,$0.00,$0.00
"Feb 07, 2013",$0.03,$0.03,$0.00,$0.00
"Feb 05, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 03, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 01, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 29, 2013",$0.03,$0.03,$0.00,$0.00
"Jan 28, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 23, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 18, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 16, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 15, 2013",$0.02,$0.00,$0.02,$0.00
"Jan 14, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 13, 2013",$0.01,$0.01,$0.00,$0.00
"Jan 12, 2013",$0.03,$0.03,$0.00,$0.00
"Jan 11, 2013",$0.04,$0.04,$0.00,$0.00
"Jan 10, 2013",$0.71,$0.71,$0.00,$0.00
"Jan 09, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 08, 2013",$0.00,$0.00,$0.00,$0.00
"Dec 31, 2012",$0.13,$0.13,$0.00,$0.00
"Dec 24, 2012",$0.09,$0.09,$0.00,$0.00
"Dec 20, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 19, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 17, 2012",$0.07,$0.07,$0.00,$0.00
"Dec 13, 2012",$0.02,$0.00,$0.01,$0.00
"Dec 12, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 09, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 05, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 28, 2012",$0.02,$0.02,$0.00,$0.00
"Nov 26, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 23, 2012",$0.10,$0.09,$0.00,$0.00
"Nov 21, 2012",$0.13,$0.13,$0.00,$0.00
"Nov 18, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 17, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 16, 2012",$0.07,$0.07,$0.00,$0.00
"Nov 15, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 13, 2012",$0.12,$0.11,$0.01,$0.00
"Nov 12, 2012",$0.02,$0.02,$0.00,$0.00
"Nov 09, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 07, 2012",$0.13,$0.13,$0.00,$0.00
"Nov 05, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 04, 2012",$0.06,$0.06,$0.00,$0.00
"Nov 02, 2012",$0.04,$0.04,$0.00,$0.00
"Nov 01, 2012",$0.02,$0.00,$0.02,$0.00
"Oct 31, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 30, 2012",$0.01,$0.01,$0.00,$0.00
"Oct 27, 2012",$0.04,$0.04,$0.00,$0.00
"Oct 24, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 23, 2012",$0.02,$0.01,$0.01,$0.00
"Oct 22, 2012",$0.05,$0.05,$0.00,$0.00
"Oct 21, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 19, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 18, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 17, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 15, 2012",$0.02,$0.00,$0.02,$0.00
"Oct 14, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 10, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 09, 2012",$0.01,$0.01,$0.00,$0.00
"Oct 08, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 03, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 01, 2012",$0.04,$0.04,$0.00,$0.00
"Sep 28, 2012",$0.07,$0.07,$0.00,$0.00
"Sep 25, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 20, 2012",$0.01,$0.01,$0.00,$0.00
"Sep 15, 2012",$0.01,$0.01,$0.00,$0.00
"Sep 13, 2012",$0.02,$0.00,$0.02,$0.00
"Sep 09, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 05, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 03, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 02, 2012",$0.08,$0.08,$0.00,$0.00
"Sep 01, 2012",$0.01,$0.00,$0.01,$0.00
