Date,Total estimated earnings,AFV earnings,YouTube earnings,Transactions
"Mar 19, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 18, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 16, 2013",$0.04,$0.04,$0.00,$0.00
"Mar 14, 2013",$0.05,$0.04,$0.01,$0.00
"Mar 13, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 09, 2013",$0.05,$0.05,$0.00,$0.00
"Mar 08, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 05, 2013",$0.04,$0.00,$0.04,$0.00
"Feb 28, 2013",$0.02,$0.00,$0.02,$0.00
"Feb 27, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 25, 2013",$0.06,$0.05,$0.01,$0.00
"Feb 21, 2013",$0.04,$0.04,$0.00,$0.00
"Feb 20, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 19, 2013",$0.10,$0.09,$0.01,$0.00
"Feb 16, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 14, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 13, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 11, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 09, 2013",$0.04,$0.04,$0.00,$0.00
"Feb 07, 2013",$0.02,$0.00,$0.02,$0.00
"Feb 06, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 05, 2013",$0.06,$0.06,$0.00,$0.00
"Feb 03, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 30, 2013",$0.02,$0.00,$0.01,$0.00
"Jan 29, 2013",$0.02,$0.00,$0.02,$0.00
"Jan 28, 2013",$0.08,$0.08,$0.00,$0.00
"Jan 26, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 25, 2013",$0.02,$0.02,$0.00,$0.00
"Jan 21, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 15, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 10, 2013",$0.02,$0.01,$0.01,$0.00
"Jan 09, 2013",$0.15,$0.14,$0.01,$0.00
"Jan 07, 2013",$0.02,$0.02,$0.00,$0.00
"Jan 06, 2013",$0.06,$0.06,$0.00,$0.00
"Jan 05, 2013",$0.00,$0.00,$0.00,$0.00
"Dec 30, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 28, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 27, 2012",$0.05,$0.03,$0.02,$0.00
"Dec 21, 2012",$0.09,$0.07,$0.02,$0.00
"Dec 20, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 19, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 18, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 15, 2012",$0.01,$0.01,$0.00,$0.00
"Dec 14, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 13, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 12, 2012",$0.01,$0.00,$0.01,$0.00
