Date,Total estimated earnings,AFV earnings,YouTube earnings,Transactions
"Mar 20, 2013",$0.03,$0.03,$0.00,$0.00
"Mar 18, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 17, 2013",$0.06,$0.03,$0.03,$0.00
"Mar 16, 2013",$0.03,$0.03,$0.00,$0.00
"Mar 14, 2013",$0.02,$0.01,$0.01,$0.00
"Mar 13, 2013",$0.02,$0.02,$0.00,$0.00
"Mar 10, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 09, 2013",$0.02,$0.02,$0.00,$0.00
"Mar 07, 2013",$0.03,$0.03,$0.00,$0.00
"Mar 06, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 05, 2013",$0.03,$0.03,$0.00,$0.00
"Mar 04, 2013",$0.05,$0.05,$0.00,$0.00
"Mar 03, 2013",$0.26,$0.25,$0.00,$0.00
"Mar 01, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 28, 2013",$0.04,$0.04,$0.00,$0.00
"Feb 26, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 25, 2013",$0.03,$0.00,$0.03,$0.00
"Feb 24, 2013",$0.04,$0.04,$0.00,$0.00
"Feb 23, 2013",$0.06,$0.06,$0.00,$0.00
"Feb 22, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 21, 2013",$0.06,$0.06,$0.00,$0.00
"Feb 20, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 16, 2013",$0.13,$0.13,$0.00,$0.00
"Feb 15, 2013",$0.09,$0.09,$0.00,$0.00
"Feb 14, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 11, 2013",$0.07,$0.05,$0.02,$0.00
"Feb 10, 2013",$0.01,$0.01,$0.00,$0.00
"Feb 08, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 07, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 06, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 05, 2013",$0.07,$0.06,$0.01,$0.00
"Feb 04, 2013",$0.03,$0.00,$0.03,$0.00
"Feb 03, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 02, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 01, 2013",$0.04,$0.04,$0.00,$0.00
"Jan 30, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 29, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 26, 2013",$0.11,$0.11,$0.00,$0.00
"Jan 25, 2013",$0.08,$0.07,$0.01,$0.00
"Jan 24, 2013",$0.02,$0.02,$0.00,$0.00
"Jan 23, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 22, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 20, 2013",$1.18,$1.18,$0.00,$0.00
"Jan 18, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 17, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 15, 2013",$0.06,$0.00,$0.06,$0.00
"Jan 14, 2013",$0.03,$0.00,$0.03,$0.00
"Jan 13, 2013",$0.01,$0.00,$0.01,$0.00
"Jan 12, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 10, 2013",$0.04,$0.04,$0.00,$0.00
"Jan 09, 2013",$0.10,$0.10,$0.00,$0.00
"Jan 08, 2013",$0.04,$0.04,$0.00,$0.00
"Jan 07, 2013",$0.07,$0.07,$0.00,$0.00
"Jan 04, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 03, 2013",$0.02,$0.02,$0.00,$0.00
"Dec 29, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 27, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 25, 2012",$0.13,$0.13,$0.00,$0.00
"Dec 21, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 17, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 16, 2012",$0.10,$0.10,$0.00,$0.00
"Dec 15, 2012",$0.05,$0.05,$0.00,$0.00
"Dec 11, 2012",$0.12,$0.12,$0.00,$0.00
"Dec 09, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 08, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 07, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 06, 2012",$0.03,$0.00,$0.03,$0.00
"Dec 05, 2012",$0.20,$0.20,$0.00,$0.00
"Dec 04, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 03, 2012",$0.06,$0.06,$0.00,$0.00
"Nov 29, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 28, 2012",$0.19,$0.19,$0.00,$0.00
"Nov 26, 2012",$0.02,$0.00,$0.01,$0.00
"Nov 25, 2012",$0.03,$0.03,$0.00,$0.00
"Nov 24, 2012",$0.02,$0.00,$0.02,$0.00
"Nov 22, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 18, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 17, 2012",$0.88,$0.88,$0.00,$0.00
"Nov 16, 2012",$0.12,$0.12,$0.00,$0.00
"Nov 15, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 14, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 13, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 12, 2012",$0.01,$0.01,$0.00,$0.00
"Nov 11, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 08, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 07, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 06, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 05, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 04, 2012",$0.02,$0.00,$0.02,$0.00
"Nov 01, 2012",$0.01,$0.00,$0.01,$0.00
