Date,Total estimated earnings,AFV earnings,YouTube earnings,Transactions
"Mar 20, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 14, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 11, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 09, 2013",$0.04,$0.04,$0.00,$0.00
"Mar 06, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 04, 2013",$0.00,$0.00,$0.00,$0.00
"Mar 03, 2013",$0.01,$0.00,$0.00,$0.00
"Mar 02, 2013",$0.03,$0.03,$0.00,$0.00
"Mar 01, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 28, 2013",$0.03,$0.03,$0.00,$0.00
"Feb 27, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 26, 2013",$0.05,$0.04,$0.00,$0.00
"Feb 25, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 23, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 21, 2013",$0.04,$0.04,$0.00,$0.00
"Feb 20, 2013",$0.02,$0.02,$0.00,$0.00
"Feb 19, 2013",$0.02,$0.02,$0.00,$0.00
"Feb 16, 2013",$0.00,$0.00,$0.00,$0.00
"Feb 15, 2013",$0.07,$0.07,$0.00,$0.00
"Feb 07, 2013",$0.01,$0.00,$0.01,$0.00
"Feb 03, 2013",$0.02,$0.00,$0.02,$0.00
"Jan 24, 2013",$0.04,$0.04,$0.00,$0.00
"Jan 20, 2013",$0.00,$0.00,$0.00,$0.00
"Jan 17, 2013",$0.00,$0.00,$0.00,$0.00
"Dec 20, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 18, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 14, 2012",$0.10,$0.10,$0.00,$0.00
"Dec 12, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 11, 2012",$0.15,$0.15,$0.00,$0.00
"Dec 08, 2012",$0.26,$0.26,$0.00,$0.00
"Dec 07, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 06, 2012",$0.12,$0.12,$0.00,$0.00
"Dec 05, 2012",$0.00,$0.00,$0.00,$0.00
"Dec 02, 2012",$0.01,$0.00,$0.01,$0.00
"Dec 01, 2012",$0.13,$0.13,$0.00,$0.00
"Nov 30, 2012",$0.03,$0.03,$0.00,$0.00
"Nov 26, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 24, 2012",$0.02,$0.00,$0.02,$0.00
"Nov 22, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 21, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 18, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 16, 2012",$0.06,$0.06,$0.00,$0.00
"Nov 15, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 14, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 13, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 12, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 11, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 10, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 07, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 06, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 05, 2012",$0.02,$0.00,$0.02,$0.00
"Nov 04, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 03, 2012",$0.01,$0.00,$0.01,$0.00
"Nov 02, 2012",$0.00,$0.00,$0.00,$0.00
"Nov 01, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 31, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 30, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 28, 2012",$1.17,$1.17,$0.00,$0.00
"Oct 22, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 19, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 18, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 16, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 15, 2012",$0.03,$0.00,$0.03,$0.00
"Oct 14, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 13, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 11, 2012",$0.00,$0.00,$0.00,$0.00
"Oct 10, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 09, 2012",$0.01,$0.00,$0.01,$0.00
"Oct 08, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 29, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 23, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 19, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 18, 2012",$0.01,$0.01,$0.00,$0.00
"Sep 17, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 16, 2012",$0.01,$0.00,$0.01,$0.00
"Sep 12, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 09, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 06, 2012",$0.00,$0.00,$0.00,$0.00
"Sep 05, 2012",$0.00,$0.00,$0.00,$0.00
